"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"05/27/2021","BB-202103743","Residential Pool","2198 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317","Installation in new in-ground swimming pool and fence.","Pool and Fence","Accepted",,
"05/26/2021","BB-202103689","Residential Pool","3855 STRATFORD PARK DR NE, ATLANTA GA 30342","POOL, POOL DECK, ON GRADE STEPS, WALKWAYS, GRADING RE-ROUTE STORM DRAINAGE PIPES AROUND PROPOSED POOL, RETAINING WALLS TO SUPPORT POOL AREA","WILLIAMS RESIDENC-POOL","Accepted",,
"05/21/2021","BB-202103581","Residential Pool","1911 CAMBRIA AVE NW, ATLANTA GA 30318","CONSTRUCT NEW SWIMMING POOL AND 6' PRIVACY FENCE","POOL (V-21-020)","Routed for Review",,
"05/21/2021","BB-202103577","Residential Pool","1240 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","CONTRUCT 14' X 39' IN GROUND POOL / 5' FENCE AND GATE      V 21 26","TURNER POOL","Accepted",,
"05/20/2021","BB-202103554","Residential Pool","870 FAIRFIELD RD NW, ATLANTA GA 30327","CONSTRUCT IN-GROUND SWIMMING POOL AND ASSOCIATED SITE WORK. FENCE WITH GATE AND POOL EQUIPMENT","LEVY POOL","Routed for Review",,
"05/19/2021","BB-202103514","Residential Pool","4230 RICKENBACKER WAY NE, ATLANTA GA 30342","INGROUND POOL AND SPA, AND FIREPIT","POOL - CIATTO POOL","Accepted",,
"05/18/2021","BB-202103446","Residential Pool","4429 EAST CONWAY DR NW, ATLANTA GA 30327","NEW SWIMMING POOL WITH SMALL POOL DECK AREA. POOL IS 24'X17' RECTANGULAR WITH AUTOMATIC COVER. POOL DECK 501 SQF OF STONE SET ON CRUSHED AGGREGATE. DAUGHTER PERMIT TO BB-202006034 NEW SFR","POOL - 4429 EAST CONWAY DR","Routed for Review",,
"05/17/2021","BB-202103444","Residential Pool","2118 PALIFOX DR NE, ATLANTA GA 30307","BUILD A POOL, SPA, AND TURF DECKING","POOL - 2118 PALIFOX DRIVE","Accepted",,
"05/13/2021","BB-202103354","Residential Pool","1012 BATTLE CREEK WAY NW, ATLANTA GA 30327","CONSTRUCTION OF POOL , POOL DECK AND SEAT WALL","PASHA RESIDENCE POOL","Accepted",,
"05/11/2021","BB-202103274","Residential Pool","3060 ARDEN RD NW, ATLANTA GA 30305","Remove trees redo landscaping, new hardscape & install pool","Backyard Reno/Pool","Routed for Review",,
"05/09/2021","BB-202103194","Residential Pool","344 WEST WIEUCA RD NE, ATLANTA GA 30342","RESIDENTIAL SWIMMING POOL INSTALLATION05.21.2021 UPDATED SCOPE:Removal of existing wood deck and construction of a concrete 1203 sq ft patio. All of the work will be completed by one (1) contractor (River Pools & Spa)","POOL - SAMAT POOL","Routed for Review",,
"05/06/2021","BB-202103167","Residential Pool","24 BLACKLAND RD NW, ATLANTA GA 30342","CONSTRUCT NEW SWIMMING POOL","WILLIAMS RESIDENCE POOL","Routed for Review",,
"05/04/2021","BB-202103069","Residential Pool","1328 IVERSON ST NE, ATLANTA GA 30307","CONCRETE IN GROUND POOL","POOL","Routed for Review",,
"05/01/2021","BB-202103007","Residential Pool","657 GRADY PL SW, ATLANTA GA 30310","INSTALLING NEW FIBERGLASS SWIMMING POOL. INSTALLATION OF REAR 6FT. WOODEN FENCE AND A 4FT GATE.","POOL - JONES FAMILY","Routed for Review",,
"04/30/2021","BB-202102989","Residential Pool","4632 CLUB CIR NE, ATLANTA GA 30319","CONCRETEIN-GROUNDSWIMMINGPOOL,SPA,REMOVEEXISTINGSTEPSANDPORTIONOFRETAININGWALL(<48”HT),ADDNEW STEPS/24”HTWALL,POOLDECK,PATIO,WALKS,POOLEQUIPMENT,WOODFENCE/GATE,WATER QUALITY","4632 CLUB CIRCLE NE","Accepted",,
"04/30/2021","BB-202102986","Residential Pool","3700 NANCY CREEK RD NW, ATLANTA GA 30327","Build pool in spa in rear yard with stone terrace. Install gate and fence to meet pool enclosure requirementsinstall required storm water requirements, no grading or tree removal as part of this permit","POOL","Routed for Review",,
"04/28/2021","BB-202102959","Residential Pool","614 LORIDANS DR NE, ATLANTA GA 30342","CONSTRUCT NEW IN-GROUND  SWIMMING POOL","Rambo Pool","Routed for Review",,
"04/27/2021","BB-202102928","Residential Pool","1021 AVONDALE AVE SE, ATLANTA GA 30312","IN-GROUND SWIMMING POOL AND SPA","POOL - BEGLEY POOL PROJECT","Routed for Review",,
"04/27/2021","BB-202102905","Residential Pool","1579 WOODBINE AVE SE, ATLANTA GA 30317","POOL AND DECK","1579 WOODBINE AVENUE","Accepted",,
"04/26/2021","BB-202102875","Residential Pool","1568 PINEVIEW TER SW, ATLANTA GA 30311","ADD AN APPROX. 16'X38' POOLHOUSE BEHIND MAIN HOUSE","POOL HOUSE - 1568 PINEVIEW TER","Accepted",,
"04/26/2021","BB-202102872","Residential Pool","3466 OLD PLANTATION RD NW, ATLANTA GA 30327","PROPOSED RESIDENTIAL CABANA AND POOL","POOL - 3466 OLD PLANTATION","Accepted",,
"04/23/2021","BB-202102830","Residential Pool","1868 WINDEMERE DR NE, ATLANTA GA 30324","CONSTRUCTION OF A SWIMMING POOL, SPA, AND POOL DECK","POOL - 1868 WINDEMERE DR","Routed for Review",,
"04/22/2021","BB-202102792","Residential Pool","451 PINETREE DR NE, ATLANTA GA 30305","INSTALL INGROUND POOL NO DECKING INCLUDED","KAUFMAN POOL","Routed for Review",,
"04/21/2021","BB-202102775","Residential Pool","132 SPRINGDALE DR NE, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL, SPA, POOL DECK AND WALL","PARKER POOL","Routed for Review",,
"04/21/2021","BB-202102773","Residential Pool","532 VALLEY RD NW, ATLANTA GA 30305","CONSTRUCT NEW SWIMMING POOL, POOL DECK AND PAVILLION, MISC SITE WORK","STEELE RESIDENCE POOL","Posted",,
"04/21/2021","BB-202102766","Residential Pool","2751 CARMON ON WESLEY RD NW, ATLANTA GA 30327","REPLACE  CONCRETE DRIVEWAY. ADD RETAINING WALLS  AND STEPS, POOL, FENCES AND GATES.","POOL - MOORE RESIDENCE","Accepted",,
"04/16/2021","BB-202102675","Residential Pool","4207 GLENGARY DR NE, ATLANTA GA 30342","POOL / DECK / EXPOSED WALL","GHIRARDI POOL","Routed for Review",,
"04/16/2021","BB-202102674","Residential Pool","1351 AUDUBON CT SW, ATLANTA GA 30311","IN-GROUND SWIMMING POOL AND SPA","SUPER POOL PROJECT","Routed for Review",,
"04/16/2021","BB-202102655","Residential Pool","2575 WEST WESLEY RD NW, ATLANTA GA 30327","NEW 37 X 14 POOL / NEW POOL DECK","KESSLER RESIDENTIAL  ( POOL DECK ) AND ( POOL )","Routed for Review",,
"04/12/2021","BB-202102546","Residential Pool","247 LAMON AVE SE, ATLANTA GA 30316","Demo 227 sqft of existing driveway. install swimming pool, retaining wall, new concrete pool deck and installation of a 21sqft equipment pad for pool equipment.1309SQFT","Neville Craw Pool","Posted",,
"04/09/2021","BB-202102508","Residential Pool","2011 LENOX RD NE, ATLANTA GA 30306","IN GROUND POOL","KAT LIENDGENS","Accepted",,
"04/07/2021","BB-202102483","Residential Pool","392 8TH ST NE, ATLANTA GA 30309","Pool Addition. Pool deck and pool house on separate permit.","SHAH Residence","Routed for Review",,
"04/07/2021","BB-202102475","Residential Pool","934 EAST ROCK SPRINGS RD NE, ATLANTA GA 30306","447 SQFT POOL, 7' SPA, 200 SQFT POOL DECK.","POOL - KAKA POOL","Issued",,
"04/07/2021","BB-202102474","Residential Pool","4164 CLUB DR NE, ATLANTA GA 30319","POOL, WALL, AND POOL DECK.","POOL - SHOOB RESIDENCE","Accepted",,
"04/06/2021","BB-202102452","Residential Pool","37 ROGERS ST SE, ATLANTA GA 30317","Building a pool in backyard along with spa and patio. Accompanying landscape will be added after completion of pool.","Ashcraft Pool","Routed for Review",,
"04/06/2021","BB-202102430","Residential Pool","655 RALPH MCGILL BLVD NE, ATLANTA GA 30308","OWNER IS BUILDING A POOL AND PATIO AREA.","POOL AND PATIO","Routed for Review",,
"04/04/2021","BB-202102377","Residential Pool","2590 SHARONDALE DR NE, ATLANTA GA 30305","BUILD NEW POOL AND SHED","POOL AND SHED","Routed for Review",,
"04/02/2021","BB-202102361","Residential Pool","453 HAAS AVE SE, ATLANTA GA 30316","Construct granite pool/spa V-21-027","Minor Pool","Issued",,
"04/02/2021","BB-202102360","Residential Pool","110 TUXEDO TER NW, ATLANTA GA 30342","DEMO EXISTING POOL AND HOT TUB, POOL DECKS AND PATIO, WALLS, STEPS AND PATHS. CONSTRUCT NEW POOL AND SPA, REAR TERRACE, GRILLING STATION, WALLS, AND WALKWAYS.","POOL & REAR TERRACE","Routed for Review",,
"03/31/2021","BB-202102297","Residential Pool","257 CHASTAIN COMMONS NW, ATLANTA GA 30342","IN GROUND SWIMMING POOL","POOL - 257 CHASTAIN COMMONS NE","Routed for Review",,
"03/29/2021","BB-202102228","Residential Pool","630 HANSELL ST SE, ATLANTA GA 30312","Demo of gravel areas and installation of an inground concrete swimming pool and pool equipment pad.","Swimming Pool","Routed for Review",,
"03/29/2021","BB-202102223","Residential Pool","1607 HARBIN RD SW, ATLANTA GA 30311","Proposed residential swimming pool","Residential Pool","Routed for Review",,
"03/26/2021","BB-202102198","Residential Pool","915 CUMBERLAND RD NE, ATLANTA GA 30306","In-Ground swimming pool and spa","Pitts Pool Project","Accepted",,
"03/26/2021","BB-202102197","Residential Pool","697 OLD IVY RD NE, ATLANTA GA 30342","CONSTRUCT NEW POOL AND ACCOMPANYING INFRASTRUCTURE, BENCHES,STEPPING STONES, WALLS AND NEW DECK 1"" OFF THE GROUND","NEW POOL","Posted",,
"03/25/2021","BB-202102267","Residential Pool","1671 MUSKET RIDGE NW, ATLANTA GA 30327","New inground swimming pool. patio, walls, and pool equipment pad","Reneau POOL","Issued",,
"03/23/2021","BB-202102070","Residential Pool","4371 SKYLAND DR NE, ATLANTA GA 30342","INSTALL SWIMMING POOL / SPORT COURT","4371 SKYLAND DRIVE","Accepted",,
"03/19/2021","BB-202101989","Residential Pool","955 CARDOVA DR NE, ATLANTA GA 30324","INSTALLATION OF AN IN-GROUND SWIMMING POOL, PAVER DECKING, AND POOL EQUIPMENT.","CARDOVA POOL","Posted",,
"03/19/2021","BB-202101981","Residential Pool","4391 PARAN PL NW, ATLANTA GA 30327","IN GROUND POOL AND SPA","WILBANKS POOL PROJECT","Accepted",,
"03/19/2021","BB-202101968","Residential Pool","3740 POWERS FERRY RD NW, ATLANTA GA 30342","CONSTRUCT POOL & SPA IN REAR YARD","POOL AND SPA","Issued",,
"03/19/2021","BB-202101964","Residential Pool","3188 ANDREWS CT NW, ATLANTA GA 30305","This project is the construction of a residential pool/spa with a paver patio.","Marburger Residence Pool","Issued",,
"03/19/2021","BB-202101960","Residential Pool","1741 FRIAR TUCK RD NE, ATLANTA GA 30309","PROPOSED RESIDENTIAL SWIMMING POOL AND DECKING WITH SPA.","POOL - 1741 FRIAR TUCK ROAD","Routed for Review",,
"03/19/2021","BB-202101950","Residential Pool","3804 LAND O LAKES DR NE, ATLANTA GA 30342","PROVIDE LABOR, MATERIALS AND SUPERVISION TO CONSTRUCT A 36'X15' POOL WITH 7' SPA. TWO COLUMNS WITH COPPER GAS LANTERNS, & A 8' KITCHEN STRUCTURE WITH GRILL.","POOL - MCCALL","Issued",,
"03/18/2021","BB-202101926","Residential Pool","1314 UNIVERSITY DR NE, ATLANTA GA 30306","CONSTRUCT INGROUND SWIMMING POOL AND POOL EQUIPMENT","WARBURTON","Issued",,
"03/18/2021","BB-202101911","Residential Pool","283 SPRINGDALE DR NE, ATLANTA GA 30305","INSTALL NEW SWIMMING POOL AND FENCE","SWIMMING POOL","Posted",,
"03/18/2021","BB-202101899","Residential Pool","2340 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317","Inground swimming pool, spa, pool deck and drive addition","Cornelius Pool and Spa","Routed for Review",,
"03/17/2021","BB-202101871","Residential Pool","2066 SWAZEY DR SE, ATLANTA GA 30332","Install new Inground Swimming pool and pool equipment pad","Devine","Routed for Review",,
"03/17/2021","BB-202101867","Residential Pool","519 HILLSIDE DR NW, ATLANTA GA 30342","POOL / POOL HOUSE / SPORT COURT","REAL YARD IMPROVEMENTS POOP, POOL HOUSE AND SPORT COURT","Posted",,
"03/17/2021","BB-202101862","Residential Pool","1163 LANIER BLVD NE, ATLANTA GA 30306","Installation of swimming pool and retaining walls.","Swimming Pool / Retaining Walls","Accepted",,
"03/16/2021","BB-202101837","Residential Pool","1384 FAIRVIEW RD NE, ATLANTA GA 30306","Install inground heated poo & decking.","Critz Pool","Posted",,
"03/16/2021","BB-202101821","Residential Pool","1083 WOODLAND AVE SE, ATLANTA GA 30316","New inground swimming pool and spa, retaining walls, fencing and guardrails.","Joiner Swimming pool and Spa","Routed for Review",,
"03/15/2021","BB-202101797","Residential Pool","976 FERNCLIFF RD NE, ATLANTA GA 30324","CONSTRUCT SWIMMING POOL AND SPA","976 FERNCLIFF RD POOL","Accepted",,
"03/15/2021","BB-202101790","Residential Pool","821 OAKDALE RD NE, ATLANTA GA 30307","IN GROUND POOL","KEISER DELACY RESIDENCE","Routed for Review",,
"03/12/2021","BB-202101745","Residential Pool","3240 IVANHOE DR NW, ATLANTA GA 30327","Construction of concrete inground swimming pool and spa for residential home.","Stevenson Residence","Routed for Review",,
"03/10/2021","BB-202101692","Residential Pool","64 PARK LN NE, ATLANTA GA 30309","POOL","POOL","Routed for Review",,
"03/09/2021","BB-202101674","Residential Pool","1251 EAST ROCK SPRINGS RD NE, ATLANTA GA 30306","PROPOSED SWIMMING POOL AND DECKING","POOL","Posted",,
"03/08/2021","BB-202101637","Residential Pool","4615 MILLBROOK DR NW, ATLANTA GA 30327","CONSTRUCT 36'X14' POOL WITH 7'SPA 12' OUTDOOR KITCHEN AREA, 30 SQFT DRIVEWAY.RETAINING WALL/GRILL STATION","JOHNSON POOL","Issued",,
"03/04/2021","BB-202101581","Residential Pool","875 ORMEWOOD TER SE, ATLANTA GA 30316","POOL , SPA AND PAVER DECKING","POOL AND SPA","Routed for Review",,
"03/03/2021","BB-202101555","Residential Pool","1023 MCLYNN AVE NE, ATLANTA GA 30306","Install in-ground pool and stone wall","Pool / Stone Wall","Issued",,
"03/03/2021","BB-202101554","Residential Pool","1538 WALTHALL CT NW, ATLANTA GA 30318","In-ground swimming pool","Pool","Issued",,
"03/03/2021","BB-202101553","Residential Pool","675 TUXEDO PL NW, ATLANTA GA 30342","Retile and replaster existing pool","Pool","Issued",,
"03/03/2021","BB-202101521","Residential Pool","487 BRYN MAWR LN NW, ATLANTA GA 30327","CONSTRUCTION OF BACKYARD RETAINING WALLS, PLAY TURF, CONCRETE PATIO, AND SWIMMING POOL AND SPA.","GALLAGHER RESIDENCE POOL","Issued",,
"03/01/2021","BB-202101461","Residential Pool","3758 NORTH STRATFORD RD NE, ATLANTA GA 30342","EXISTING PATIO TO BE REMOVED , ADDITION OF A POOL AND SPA","GODUTO POOL","Accepted",,
"02/25/2021","BB-202101381","Residential Pool","315 PEACHTREE BATTLE AVE NW, ATLANTA GA 30305","Construct new pool with associated equipment and enclosures","POOL","Routed for Review",,
"02/25/2021","BB-202101374","Residential Pool","870 HAVEN OAKS CT NE, ATLANTA GA 30342","Install proposed swimming pool install terrace at pool, replace terrace as proposed install built-in-grill","POOL","Routed for Review",,
