"Date","Permit Number","Permit Type","Description","Status","Address",
"02/25/2021","20210206613","Commercial Pool Heat Pump","Replacing an existing heat pump (apple for apple)","Permit Issued","8561 AMBERJACK CIR, C2, ENGLEWOOD FL 34224",
"01/07/2021","20210100614","Commercial Pool Heat Pump","Gate code: 0414.Remove old pool heater & install new in the same place. It is pool heater #1. Thank you! Any questions call Alex at 941-629-2539.","Closed","4410 WARREN AVE, 1, PORT CHARLOTTE FL 33953",
"12/03/2020","20201235081","Commercial Pool Heat Pump","Remove old pool heater and install new in the same place.","Closed","26386 NADIR RD, 4, PUNTA GORDA FL 33983",
"12/02/2020","20201234882","Commercial Pool Heat Pump","Removing a broken heat pump and replacing with another.Apples to Apples","Closed","2000 FORREST NELSON BLVD, A, PORT CHARLOTTE FL 33952",
"09/10/2020","20200926163","Commercial Pool Heat Pump","Remove old pool heater and install new in the same place.","Closed","29199 MARYLU AVE, PUNTA GORDA FL 33982",
"04/07/2020","20200409629","Commercial Pool Heat Pump","Replacing heat pumps","Permit Issued","25050 SANDHILL BLVD, PUNTA GORDA FL 33983",
"12/20/2019","20191230961","Commercial Pool Heat Pump","Replace existing heat pump","Closed","5121 MELBOURNE ST, CLUBHSE, PORT CHARLOTTE FL 33980",
"11/11/2019","20191127832","Commercial Pool Heat Pump","Remove old pool heater and install new in the same exact place.","Closed","2305 AARON ST, PORT CHARLOTTE FL 33952",
"09/11/2019","20190922670","Commercial Pool Heat Pump","CLUBHOUSE - INSTALLATION OF SWIMMING POOL HEAT PUMP, PLUMBING ONLY.","Closed","6800 PLACIDA RD, CLUBHSE, ENGLEWOOD FL 34224",
"03/18/2019","20190307168","Commercial Pool Heat Pump","BLDG A - INSTALLATION OF SWIMMING POOL HEAT PUMP, PLUMBING ONLY","Closed","1460 SAN CRISTOBAL AVE, A, PUNTA GORDA FL 33983",
"02/11/2019","20190203828","Commercial Pool Heat Pump","Install 2 new pool heat pumps.Electrical by Dan Wellins Electric.","Closed","24486 LAKESIDE MANOR, PORT CHARLOTTE FL 33980",
"02/07/2019","20190203478","Commercial Pool Heat Pump","Electric pool heat pump install","Closed","806 KINGS HWY, PORT CHARLOTTE FL 33980",
"01/29/2019","20190102603","Commercial Pool Heat Pump","INSTALL TWO GEO THERMAL POOL HEATERS","Closed","1375 BEACH RD, ENGLEWOOD FL 34223",
"01/17/2019","20190101391","Commercial Pool Heat Pump","Replacing pool heater with SQ166R Pool heat pump.","Closed","6796 GASPARILLA PINES BLVD, ENGLEWOOD FL 34224",
"01/15/2019","20190101194","Commercial Pool Heat Pump","Removed old pool heater, and installed new in the same place.","Closed","16572 SAN EDMUNDO RD, PUNTA GORDA FL 33955",
