"Date","Permit Number","Permit Type","Description","Status","Address",
"05/12/2021","20210517200","Commercial Swimming Pool","Commercial swimming pool","Application Insufficient","24150 BEATRIX BLVD, CLUBHSE, Port Charlotte FL 33954",
"04/30/2021","20210415560","Commercial Swimming Pool","TEST - do not use","Issued","18400 MURDOCK CIR, PORT CHARLOTTE FL 33948",
"04/08/2021","20210412414","Commercial Swimming Pool","Renovation of of EXISTING swimming pool. Includes new tile, plaster and skimmers.","Ready for Issuance","26316 NADIR RD, A, PUNTA GORDA FL 33983",
"02/19/2021","20210205608","Commercial Swimming Pool","after the fact resurface commercial swimming pool","Permit Issued","26410 RAMPART BLVD, 7, PUNTA GORDA FL 33983",
"11/30/2020","20201134622","Commercial Swimming Pool","Pool resurface, new paver deck","Closed","19520 HERITAGE OAK BLVD, POOL, PORT CHARLOTTE FL 33948",
"11/09/2020","20201132717","Commercial Swimming Pool","Pool Renovation Project - Demo existing pool, electrical, plumbing, deck, and landscaping for new pool.","Permit Issued","166 TARPON, PUNTA GORDA FL 33950",
"10/22/2020","20201030908","Commercial Swimming Pool","construct pool","Closed","42451 EDGEWATER DR, Punta Gorda FL 33982",
"09/30/2020","20201028844","Commercial Swimming Pool","Construction of Commercial Pool","Permit Issued","14033 HERITAGE LANDING BLVD, Punta Gorda FL 33955",
"09/25/2020","20200927845","Commercial Swimming Pool","POOL RENOVATION TILING AND RESURFACING","Closed","1216 RIO DE JANEIRO AVE, PUNTA GORDA FL 33983",
"08/31/2020","20200824987","Commercial Swimming Pool","Unit 1:  Replacing pool surface, 6x6 waterline tile, and pool coping.","Closed","14880 TAMIAMI TRL, 1, PUNTA GORDA FL 33955",
"08/13/2020","20200823255","Commercial Swimming Pool","pool construction","Permit Issued","17162 TOLEDO BLADE BLVD, PORT CHARLOTTE FL 33954",
"04/16/2020","20200410553","Commercial Swimming Pool","BABCOCK RANCH CYPRESS LODGE AMENITY POOL","Closed","43511 BLUEBIRD TRL, PUNTA GORDA FL 33982",
"04/01/2020","20200409146","Commercial Swimming Pool","Resurfacing pool, replacing pool tile, deck & coping.","Closed","25100 SANDHILL BLVD, Punta Gorda FL 33983",
"03/23/2020","20200308232","Commercial Swimming Pool","Resurface of Pool","Closed","25633 HERITAGE LAKE BLVD, PUNTA GORDA FL 33983",
"12/04/2019","20191229554","Commercial Swimming Pool","ADD ADA LIFT WITH CONCRETE PAD TO COMM POOL","Expired","4500 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"10/18/2019","20191025907","Commercial Swimming Pool","CONDO'S POOL - INSTALLATION OF COMMERCIAL SALTWATER SYSTEM ONLY","Closed","1475 FLAMINGO DR, Englewood FL 34224",
"10/18/2019","20191025899","Commercial Swimming Pool","CLUBHOUSE - INSTALL NEW THERAPY JETS W/AIR SUPPLY BLOWER / PULLING & RESETTING PAVER DECK, SPA MODIFICATION ENGINEERING","Closed","10401 CORAL LANDINGS LN, CLUBHSE, PLACIDA FL 33946",
"09/10/2019","20190922606","Commercial Swimming Pool","RESURFACE EXISTING POOL ONLY","Closed","5000 GASPARILLA RD, Boca Grande FL 33921",
"09/06/2019","20190922339","Commercial Swimming Pool","RESURFACE POOL SURFACE, REMOVE/REPLACE WATERLINE TILE, REPLACE NONSKID TILE, REPLACE MAIN DRAIN, REPLACE LADDER AND PAVER","Closed","11000 PLACIDA RD, PLACIDA FL 33946",
"08/23/2019","20190821298","Commercial Swimming Pool","RESURFACE POOL SURFACE, REPLACE WATERLINE TILE","Closed","29200 JONES LOOP RD, PUNTA GORDA FL 33950",
"08/14/2019","20190820423","Commercial Swimming Pool","RENOVATION ONLY----------Renovation of existing swimming pool, see attachments.","Under Review","1977 BEACH RD, CLUBHSE, ENGLEWOOD FL 34223",
"08/07/2019","20190819777","Commercial Swimming Pool","Construction of a commercial pool","Closed","14024 BLACK BEAUTY DR, POOL, PUNTA GORDA FL 33955",
"07/31/2019","20190719275","Commercial Swimming Pool","Construction of a residential pool and spa","Closed","25114 GOLDEN FERN DR, PUNTA GORDA FL 33955",
"06/28/2019","20190616486","Commercial Swimming Pool","POOL AND CONCRETE POOL DECK","Closed","7035 PLACIDA RD, ENGLEWOOD FL 34224",
"05/30/2019","20190513777","Commercial Swimming Pool","25' X 50' METER POOL - 670,000 GALLONS","Closed","1120 ODONNELL BLVD, PORT CHARLOTTE FL 33953",
"05/24/2019","20190513332","Commercial Swimming Pool","Commercial swimming pool deck & enclosure renovation (refer to attached pg)","Closed","2400 N BEACH RD, ENGLEWOOD FL 34223",
"05/03/2019","20190511422","Commercial Swimming Pool","Paver Deck, Tile And Refinish Inside Pool","Closed","29199 MARYLU AVE, PUNTA GORDA FL 33982",
"04/19/2019","20190410106","Commercial Swimming Pool","Construction of a residential pool and spa","Closed","43723 PINEWOOD BEND, Punta Gorda FL 33982",
"03/09/2019","20190307539","Commercial Swimming Pool","HARBORSIDE CONDOS - inground swimming pool, spa & deck","Closed","14550 RIVER BEACH DR, A, Port Charlotte FL 33953",
"02/14/2019","20190204120","Commercial Swimming Pool","Construction Of Commercial Pool","Closed","7200 WATERFORD PKWY, PUNTA GORDA FL 33950",
"11/13/2018","20181129936","Commercial Swimming Pool","POOL PERIMETER, REPLACE 2X6 TILE; COMMERCIAL MAIN DRAIN RESURFACING","Closed","11000 PLACIDA RD, PLACIDA FL 33946",
"10/24/2018","20181028206","Commercial Swimming Pool","RESURFACE EXISTING POOL / INSTALL PAVER DECK / UPDATE MAIN DRAIN COVER","Closed","1601 BEACH RD, CLUBHSE, ENGLEWOOD FL 34223",
"09/24/2018","20180925486","Commercial Swimming Pool","Pool Resurfacing Scope Of Work Attached","Closed","3701 BAYNARD DR, PUNTA GORDA FL 33950",
"07/31/2018","20180720389","Commercial Swimming Pool","SWIMMING POOL RETILE","Closed","4500 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"07/24/2018","20180719792","Commercial Swimming Pool","Resurface Pool and Update Main Drain Cover","Closed","7092 PLACIDA RD, PLACIDA FL 33946",
"07/24/2018","20180719790","Commercial Swimming Pool","Resurface Pool Update Main Drain Cover (Pool Behind Clubhouse)","Closed","215 RIO VILLA DR, CLUBHSE, PUNTA GORDA FL 33950",
"07/11/2018","20180718514","Commercial Swimming Pool","RESURFACE EXISTING POOL / UPDATE MAIN DRAIN COVER","Closed","5000 GASPARILLA RD, Boca Grande FL 33921",
"07/09/2018","20180718203","Commercial Swimming Pool","RESURFACE POOL & INSTALL DEPTH MARKERS & REPLACE TILE","Closed","2100 KINGS HWY, PORT CHARLOTTE FL 33980",
"05/21/2018","20180513453","Commercial Swimming Pool","REPLACE COLLECTOR TANK FOR SWIMMING POOL","Closed","46900 BERMONT RD, PUNTA GORDA FL 33982",
