"Date","Permit Number","Permit Type","Description","Status","Address",
"05/26/2021","20210519120","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Permit Issued","10264 ST PAUL DR, PORT CHARLOTTE FL 33981",
"05/24/2021","20210518665","Res Pool Heat Pump","Heat Pump","Permit Issued","1100 GREAT FALLS AVE, PORT CHARLOTTE FL 33948",
"05/21/2021","20210518619","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Permit Issued","1476 HAYWORTH RD, PORT CHARLOTTE FL 33952",
"05/20/2021","20210518380","Res Pool Heat Pump","plumb in heat pump","Permit Issued","11167 PENDLETON AVE, ENGLEWOOD FL 34224",
"05/18/2021","20210517878","Res Pool Heat Pump","Heat Pump","Closed","18694 KERRVILLE CIR, PORT CHARLOTTE FL 33948",
"05/17/2021","20210517825","Res Pool Heat Pump","Install heat pump","Closed","25881 AYSEN DR, PUNTA GORDA FL 33983",
"05/13/2021","20210517400","Res Pool Heat Pump","Customer provided heat pump","Permit Issued","701 DEL RAY PL, PUNTA GORDA FL 33950",
"05/13/2021","20210517396","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMIMG POOL HEAT PUMP","Permit Issued","3700 ACLINE RD, PUNTA GORDA FL 33950",
"05/13/2021","20210517349","Res Pool Heat Pump","Install new pool heater. Dan Wellins Electric will install the electric.","Closed","18156 WOLBRETTE CIR, PORT CHARLOTTE FL 33948",
"05/12/2021","20210517216","Res Pool Heat Pump","Customer provided electric heat pump","Permit Issued","112 BOXWOOD LN, ROTONDA WEST FL 33947",
"05/12/2021","20210517145","Res Pool Heat Pump","Heat Pump","Closed","26570 COPIAPO CIR, PUNTA GORDA FL 33983",
"05/12/2021","20210517085","Res Pool Heat Pump","Heat Pump","Closed","1835 CITRON ST, PORT CHARLOTTE FL 33980",
"05/12/2021","20210517083","Res Pool Heat Pump","Heat Pump","Closed","233 IQUITOS ST, PUNTA GORDA FL 33983",
"05/10/2021","20210516818","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","2683 SUNCOAST LAKES BLVD, PORT CHARLOTTE FL 33980",
"05/10/2021","20210516777","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","316 EUCLID ST, PORT CHARLOTTE FL 33954",
"05/07/2021","20210516429","Res Pool Heat Pump","Customer provided heat pump","Closed","143 SANTAREM CIR, PUNTA GORDA FL 33983",
"05/06/2021","20210516401","Res Pool Heat Pump","INSTALL NEW POOL HEAT PUMP 135BTU","Closed","2245 MAURITANIA RD, PUNTA GORDA FL 33983",
"05/05/2021","20210516061","Res Pool Heat Pump","install pool heat pump and subcontract electrician","Permit Issued","9272 LUCIAN AVE, ENGLEWOOD FL 34224",
