"Date","Permit Number","Permit Type","Description","Status","Address",
"05/27/2021","20210519329","Residential Pool Solar System","Install of Pool Solar","Permit Issued","37 MARK TWAIN LN, ROTONDA WEST FL 33947",
"05/14/2021","20210517607","Residential Pool Solar System","Roof mount solar pool heating","Permit Issued","2251 LEE TER, PORT CHARLOTTE FL 33952",
"05/06/2021","20210516390","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Permit Issued","26102 WATERFOWL LN, PUNTA GORDA FL 33983",
"05/03/2021","20210515740","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Permit Issued","7184 HOLSUM ST, ENGLEWOOD FL 34224",
"04/30/2021","20210415521","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Permit Issued","17115 BARCREST LN, PUNTA GORDA FL 33955",
"04/27/2021","20210414875","Residential Pool Solar System","Solar Pool Heater","Closed","2473 NEWBURY ST, PORT CHARLOTTE FL 33952",
"04/27/2021","20210414833","Residential Pool Solar System","Roof Mount Solar Pool Heating","Permit Issued","16 PALM DR, PLACIDA FL 33946",
"04/26/2021","20210414795","Residential Pool Solar System","Install of Pool Solar","Closed","65 MARINER LN, ROTONDA WEST FL 33947",
"04/22/2021","20210414345","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Permit Issued","4204 SURFSIDE CT, PORT CHARLOTTE FL 33948",
"04/09/2021","20210412518","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","26019 CONSIDINE CT, PUNTA GORDA FL 33983",
"04/09/2021","20210412480","Residential Pool Solar System","SOLAR POOL HEAT","Closed","25270 LONGMEADOW DR, PUNTA GORDA FL 33955",
"04/07/2021","20210412191","Residential Pool Solar System","INSTALLATION OF (5) 4X12 POOL SOLAR PANELS TO HEAT THE POOL.","Closed","27310 SAN MARCO DR, PUNTA GORDA FL 33983",
"04/07/2021","20210412082","Residential Pool Solar System","Roof Mount Solar Pool Heating & Roof Mount Solar Hot Water","Permit Issued","6302 BRAUN ST, ENGLEWOOD FL 34224",
"04/06/2021","20210411985","Residential Pool Solar System","Install of pool solar","Closed","28 MEDALIST CT, ROTONDA WEST FL 33947",
"04/06/2021","20210411826","Residential Pool Solar System","INSTALLATION OF (8) 4x10 POOL SOLAR PANELS ON THE ROOF TO HEAT THE POOL.","Closed","19572 MIDWAY BLVD, PORT CHARLOTTE FL 33948",
"03/30/2021","20210310973","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVESHOOKED UP TO EXISTING POOL EQUIPMENT","Closed","3473 LIBERTY ST, PORT CHARLOTTE FL 33948",
"03/30/2021","20210310912","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Permit Issued","9310 GULFSTREAM BLVD, ENGLEWOOD FL 34224",
"03/25/2021","20210310365","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Permit Issued","1589 AMSTEAD ST, PORT CHARLOTTE FL 33980",
"03/24/2021","20210310235","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","1189 DORCHESTER ST, PORT CHARLOTTE FL 33952",
"03/23/2021","20210310077","Residential Pool Solar System","Solar Pool Heater","Closed","38901 WASHINGTON LOOP RD, PUNTA GORDA FL 33982",
"03/09/2021","20210308121","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","42311 LAKE TIMBER DR, Punta Gorda FL 33982",
"03/08/2021","20210307963","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTING HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","27027 PASADENA DR, PUNTA GORDA FL 33955",
"03/03/2021","20210307368","Residential Pool Solar System","Install solar pool heat with manual control","Closed","17693 CORKWOOD BEND TRL, Punta Gorda FL 33982",
"03/02/2021","20210307093","Residential Pool Solar System","Reinstall Solar Pool Heat after New Roof....","Permit Issued","25204 RECIFE DR, PUNTA GORDA FL 33983",
"02/26/2021","20210206650","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","3050 RIVERSHORE LN, PORT CHARLOTTE FL 33953",
"02/17/2021","20210205346","Residential Pool Solar System","Install solar pool heat with auto control","Closed","113 TURTLE DR, ROTONDA WEST FL 33947",
"02/12/2021","20210204720","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","23201 QUASAR BLVD, PORT CHARLOTTE FL 33952",
"02/12/2021","20210204698","Residential Pool Solar System","Install of Pool Solar","Closed","1900 MISSISSIPPI AVE, ENGLEWOOD FL 34224",
"02/08/2021","20210204050","Residential Pool Solar System","Install (3) 4x12 + (5) 4x10 Pool Solar Panels to heat the pool.","Closed","118 SAO LUIZ ST, PUNTA GORDA FL 33983",
"01/29/2021","20210103106","Residential Pool Solar System","Reinstall Solar Pool Heater After New Roof...","Closed","2045 RIVER BASIN TER, PUNTA GORDA FL 33982",
"01/28/2021","20210102826","Residential Pool Solar System","Solar Pool Heat No Automation","Closed","17035 CAPE HORN BLVD, PUNTA GORDA FL 33955",
"01/25/2021","20210102444","Residential Pool Solar System","Solar Pool Heat No Automation","Permit Issued","25295 LONGMEADOW DR, PUNTA GORDA FL 33955",
"01/21/2021","20210102012","Residential Pool Solar System","INSTALL (7) 4X12 POOL SOLAR PANELS ON WEST ROOF PLANE TO HEAT THE POOL.","Permit Issued","14708 PONCE DE LEON TRL, Port Charlotte FL 33981",
"01/20/2021","20210101815","Residential Pool Solar System","Install of Pool Solar","Closed","1960 ILLINOIS AVE, ENGLEWOOD FL 34224",
"01/07/2021","20210100565","Residential Pool Solar System","Installation of (9) 4x10 Pool Solar Panels to heat the pool","Closed","732 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"12/23/2020","20201237489","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","21105 DENISE AVE, PORT CHARLOTTE FL 33952",
"12/21/2020","20201237242","Residential Pool Solar System","Roof Mount Solar Pool Heating & Solar Hot Water - NO PHOTOVOLTAIC","Closed","156 BAYTREE DR, ROTONDA WEST FL 33947",
"12/17/2020","20201236989","Residential Pool Solar System","Solar Pool Heater Replacement","Closed","1375 SAXONY CIR, 1, PUNTA GORDA FL 33983",
"12/14/2020","20201236471","Residential Pool Solar System","Install solar pool heat with manual control","Closed","1061 HARBOUR GREEN RD, PUNTA GORDA FL 33983",
"12/14/2020","20201236403","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","8436 CREEKVIEW LN, ENGLEWOOD FL 34224",
"12/08/2020","20201235599","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","26 MAST DR, PLACIDA FL 33946",
"12/02/2020","20201235057","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","5165 ANDERSON RD, PORT CHARLOTTE FL 33981",
"11/20/2020","20201133929","Residential Pool Solar System","Roof Mount Solar Pool Heating & Domestic Hot Water - NO PHOTOVOLTAIC","Closed","122 SEVILLE PL SW, PORT CHARLOTTE FL 33952",
"11/18/2020","20201133688","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Cancelled by Applicant","19785 MIDWAY BLVD, PORT CHARLOTTE FL 33948",
"11/17/2020","20201133510","Residential Pool Solar System","Reinstall Solar Pool Heater after New Roof","Closed","17151 OHARA DR, PORT CHARLOTTE FL 33948",
"11/10/2020","20201132894","Residential Pool Solar System","Install of Pool Solar","Closed","2722 LARKSPUR DR, PUNTA GORDA FL 33950",
"11/06/2020","20201133196","Residential Pool Solar System","Solar Pool Heat No Automation","Closed","17138 ANTHEM LN, PUNTA GORDA FL 33955",
"11/03/2020","20201132217","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Cancelled by Applicant","233 SPRING VIEW CIR, PORT CHARLOTTE FL 33948",
"10/29/2020","20201031626","Residential Pool Solar System","SOLAR POOL HEATER","Closed","1333 DORCHESTER ST, PORT CHARLOTTE FL 33952",
"10/20/2020","20201030496","Residential Pool Solar System","Install of Pool Solar","Closed","1218 JEFFERSON DR, ENGLEWOOD FL 34224",
"10/07/2020","20201029268","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","5300 RIVER BAY DR, PUNTA GORDA FL 33950",
"10/05/2020","20201028842","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","25183 CHICLAYO AVE, PUNTA GORDA FL 33983",
"09/29/2020","20200928275","Residential Pool Solar System","Install 6 solar pool heating panels on shingle roof with controller.","Closed","14192 DARWIN AVE, PORT CHARLOTTE FL 33953",
"09/29/2020","20200928241","Residential Pool Solar System","SOLAR POOL HEATER","Closed","48 MEDALIST LN, ROTONDA WEST FL 33947",
"09/29/2020","20200928181","Residential Pool Solar System","SOLAR POOL HEATER","Closed","129 SPUR DR, ROTONDA WEST FL 33947",
"09/22/2020","20200927448","Residential Pool Solar System","Above-Ground Pool","Expired","3033 EASY ST, PORT CHARLOTTE FL 33952",
"08/26/2020","20200824555","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","18417 HOTTELET CIR, PORT CHARLOTTE FL 33948",
"08/17/2020","20200823486","Residential Pool Solar System","Install of Pool Solar","Closed","24224 PIRATE HARBOR BLVD, PUNTA GORDA FL 33955",
"08/07/2020","20200822523","Residential Pool Solar System","Solar Pool Heater","Closed","17487 TERRY AVE, PORT CHARLOTTE FL 33948",
"07/28/2020","20200721320","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","440 CARTAGENA ST, PUNTA GORDA FL 33983",
"07/27/2020","20200721215","Residential Pool Solar System","(6) 4x12 SunValue Pool Solar Panels with Automation Syste,","Finaled","10162 TOPSAIL AVE, ENGLEWOOD FL 34224",
"07/21/2020","20200720546","Residential Pool Solar System","Install solar pool heat with auto control","Closed","25197 BOLIVAR DR, PUNTA GORDA FL 33983",
"07/06/2020","20200718701","Residential Pool Solar System","Install of Pool Solar w/ Auto Control","Closed","15217 LAKELAND CIR, PORT CHARLOTTE FL 33981",
"07/02/2020","20200718526","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","2287 OBERON LN, PUNTA GORDA FL 33983",
"06/23/2020","20200617468","Residential Pool Solar System","Solar Pool Heater","Closed","1325 EPPINGER DR, PORT CHARLOTTE FL 33953",
"06/18/2020","20200617026","Residential Pool Solar System","Install of pool solar w/ auto","Closed","24208 JEAN LA FITTE BLVD, PUNTA GORDA FL 33955",
"06/15/2020","20200616548","Residential Pool Solar System","(7) 4x12 SunValue pool solar panels mounted on South Roof to heat pool. These are not PV panels.","Closed","176 ANTILLA DR, ROTONDA WEST FL 33947",
"05/21/2020","20200514054","Residential Pool Solar System","Install solar pool heat with manual control","Closed","7148 COVENTRY TER, ENGLEWOOD FL 34224",
"05/12/2020","20200513058","Residential Pool Solar System","Install of Pool Solar","Closed","15728 ALDAMA CIR, PORT CHARLOTTE FL 33981",
"05/08/2020","20200512687","Residential Pool Solar System","Install of Pool Solar","Closed","23299 NANCY AVE, PORT CHARLOTTE FL 33952",
"05/08/2020","20200512686","Residential Pool Solar System","Install Pool Solar","Closed","2427 ABSCOTT ST, PORT CHARLOTTE FL 33952",
"05/05/2020","20200512276","Residential Pool Solar System","Install of Pool Solar","Closed","1474 VISCAYA DR, PORT CHARLOTTE FL 33952",
"05/05/2020","20200512256","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","17071 OHARA DR, PORT CHARLOTTE FL 33948",
