"Date","Permit Number","Permit Type","Description","Status","Address",
"07/01/2021","20210723808","Residential Swimming Pool","Inground swimming pool, spa & deck","Awaiting Plans","1884 EAST ISLES RD, Port Charlotte FL 33953",
"07/01/2021","20210723744","Residential Swimming Pool","install above ground swimming pool","Awaiting Plans","650 VERONA ST, PORT CHARLOTTE FL 33948",
"07/01/2021","20210723719","Residential Swimming Pool","Inground swimming pool & decking","Plans Submitted","5308 LAMBRIGHT DR, PORT CHARLOTTE FL 33981",
"07/01/2021","21TMP-026849","Residential Swimming Pool","INSTALL INGROUND SWIMMING POOL, PAVER BRICK DECK & EXIT ALARMS",,"268 STEBBINS TER SE, PORT CHARLOTTE FL 33952",
"06/30/2021","20210623653","Residential Swimming Pool","Construct new pool","Plans Submitted","7091 QUIGLEY ST, ENGLEWOOD FL 34224",
"06/30/2021","20210623626","Residential Swimming Pool","POOL, SPA, PATIO AND HEAT PUMP","Plans Submitted","25056 NECTAR CT, PUNTA GORDA FL 33983",
"06/30/2021","20210623603","Residential Swimming Pool","POOL AND PATIO","Plans Submitted","18142 YORK AVE, PORT CHARLOTTE FL 33948",
"06/30/2021","20210623593","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Plans Submitted","2305 BONN CT, PUNTA GORDA FL 33983",
"06/30/2021","20210623587","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Plans Submitted","9356 PRESIDENT CIR, PORT CHARLOTTE FL 33981",
"06/30/2021","20210623549","Residential Swimming Pool","pool & deck","Plans Submitted","15105 SPANISH POINT DR, Port Charlotte FL 33981",
"06/29/2021","20210623513","Residential Swimming Pool","New Construction of in ground swimming pool and cage","Plans Submitted","19155 AVIATION CT, PORT CHARLOTTE FL 33948",
"06/29/2021","20210623488","Residential Swimming Pool","POOL, SPA, PATIO AND HEAT PUMP","In Review","33 CLUBHOUSE PL, ROTONDA WEST FL 33947",
"06/29/2021","20210623484","Residential Swimming Pool","Above Ground Pool","In Review","7051 MINEOLA RD, ENGLEWOOD FL 34224",
"06/29/2021","20210623453","Residential Swimming Pool","Pool and Patio and Retaining wall","In Review","16226 CAPE HORN BLVD, PUNTA GORDA FL 33955",
"06/29/2021","20210623447","Residential Swimming Pool","POOL, SPA, PATIO AND HEAT PUMP","In Review","7124 BRANDYWINE DR, ENGLEWOOD FL 34224",
"06/29/2021","20210623438","Residential Swimming Pool","INSTALL ABOVE GROUND POOL","In Review","1197 VIRGO DR, PORT CHARLOTTE FL 33948",
"06/28/2021","20210623342","Residential Swimming Pool","New in-ground Swimming pool, with exit alarms","Application Insufficient","8151 DRESSEL ST, PORT CHARLOTTE FL 33981",
"06/28/2021","20210623290","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","In Review","25673 AYSEN DR, PUNTA GORDA FL 33983",
"06/28/2021","20210623256","Residential Swimming Pool","POOL, SPA, PATIO AND HEAT PUMP","In Review","154 BUNKER RD, ROTONDA WEST FL 33947",
"06/28/2021","20210623223","Residential Swimming Pool","Swimming pool","In Review","955 ANDREWS AVE, PORT CHARLOTTE FL 33948",
"06/28/2021","20210623214","Residential Swimming Pool","POOL, SPA, PATIO & HEAT PUMP","In Review","186 WEST PINE VALLEY LN, ROTONDA WEST FL 33947",
"06/28/2021","20210623196","Residential Swimming Pool","Swimming pool and deck","In Review","12023 BOOTH AVE, PORT CHARLOTTE FL 33981",
"06/27/2021","20210623416","Residential Swimming Pool","new swimming pool with paver deck","Plans Submitted","15749 AUTRY CIR, PORT CHARLOTTE FL 33981",
"06/26/2021","20210623150","Residential Swimming Pool","inground pool concrete deck","Plans Submitted","7436 BRANDYWINE DR, ENGLEWOOD FL 34224",
"06/25/2021","20210623142","Residential Swimming Pool","Inground swimming pool & deck","Ready for Issuance","14596 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/25/2021","20210623141","Residential Swimming Pool","Inground swimming pool & deck","Ready for Issuance","14460 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/25/2021","20210623121","Residential Swimming Pool","pool & deck","Ready for Issuance","140 CATAMARACA CT, PUNTA GORDA FL 33983",
"06/25/2021","20210623105","Residential Swimming Pool","swimming pool and deck construction","Permit Issued","1475 DEER CREEK DR, ENGLEWOOD FL 34223",
"06/25/2021","20210623095","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Ready for Issuance","3529 KNOX TER, PORT CHARLOTTE FL 33948",
"06/25/2021","20210623085","Residential Swimming Pool","Inground Pool","Plans Submitted","17884 CORKWOOD BEND TRL, Punta Gorda FL 33982",
"06/25/2021","20210623076","Residential Swimming Pool","POOL & PATIO","Ready for Issuance","15076 LYNEBURG AVE, PORT CHARLOTTE FL 33981",
"06/25/2021","20210623073","Residential Swimming Pool","POOL & PATIO","In Review","16505 MAUREEN AVE, Port Charlotte FL 33948",
"06/25/2021","20210623069","Residential Swimming Pool","Above Ground Pool - Electric by other","In Review","13541 DIBELLA AVE, PORT CHARLOTTE FL 33981",
"06/25/2021","20210623058","Residential Swimming Pool","AFTER THE FACT - ABOVE GROUND POOL WITH REMOVABLE LADDER","In Review","21882 HERNANDO AVE, PORT CHARLOTTE FL 33952",
"06/25/2021","20210623054","Residential Swimming Pool","SWIMMING POOL AND DECK","Application Insufficient","844 E 4TH ST, ENGLEWOOD FL 34223",
"06/25/2021","20210623039","Residential Swimming Pool","pool & deck","Awaiting Plans","15105 SPANISH POINT DR, Port Charlotte FL 33981",
"06/25/2021","20210623028","Residential Swimming Pool","Pool & deck","In Review","9045 CASTLEHILL AVE, ENGLEWOOD FL 34224",
"06/24/2021","20210623007","Residential Swimming Pool","IN-GROUND SWIMMING POOL","In Review","3230 BUNKER HILL ST, PORT CHARLOTTE FL 33948",
"06/24/2021","20210623006","Residential Swimming Pool","IN-GROUND SWIMMING POOL","In Review","301 MCDILL DR, PORT CHARLOTTE FL 33953",
"06/24/2021","20210623005","Residential Swimming Pool","IN-GROUND SWIMMING POOL","In Review","127 RIFLE RD, ROTONDA WEST FL 33947",
"06/24/2021","20210623003","Residential Swimming Pool","IN-GROUND SWIMMING POOL","Awaiting Plans","10531 KIDRON AVE, ENGLEWOOD FL 34224",
"06/24/2021","20210622989","Residential Swimming Pool","inground pool and concrete deck","In Review","10125 AUDREY ST, PORT CHARLOTTE FL 33981",
"06/24/2021","20210622975","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","43306 GREENWAY BLVD, Punta Gorda FL 33982",
"06/24/2021","20210622967","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","15832 LEANING PINE LN, Punta Gorda FL 33982",
"06/24/2021","20210622962","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","15824 LEANING PINE LN, Punta Gorda FL 33982",
"06/24/2021","20210622928","Residential Swimming Pool","installation of in ground fiberglass pool, monolithic wall and paver deck","Application Insufficient","770 DANIA CT, PUNTA GORDA FL 33950",
"06/24/2021","20210622918","Residential Swimming Pool","RESIDENTIAL POOL - INGROUND - FOOTER PER ENGINEERING","In Review","42115 EDGEWATER DR, Punta Gorda FL 33982",
"06/24/2021","20210622917","Residential Swimming Pool","Insllation of in ground fiberglass pool, pavers deck and footers","Application Insufficient","37600 BERMONT RD, PUNTA GORDA FL 33982",
