"File Date","Record Number","Record Type","Description","Address","Status",
"05/05/2021","BICP21-005210","Building/Commercial/CP/Pool","POOL A MULTI FAMILY COMPLEX POOL NEAR COMMUNITY BUILDING. REPLASTER POOL AND RESURFACE POOL DECK. ADD POOL LIFT FOR ACCESSIBLITY. LOCATED ON ACCESSIBLE PATH.","15690 SAN PABLO AVE, SAN PABLO CA 948061240","Issued",
"05/05/2021","BICP21-005208","Building/Commercial/CP/Pool","POOL B- MULTI FAMILY COMPLEX  SECONDARY POOL AT BACK OF PROPERTY. REPLASTER AND RESURFACE POOL DECK THIS POOL BECAUSE IT IS ON A SLOPED SITE IS NOT ACCESSIBLE SEE PLAN A FOR ACCESSIBLE POOL","15690 SAN PABLO AVE, SAN PABLO CA 948061240","Issued",
"10/27/2020","BICP20-010448","Building/Commercial/CP/Pool","REMODEL EXISTING COMMERCIAL POOL AND  SPA","3128 OAK RD, WALNUT CREEK CA 945972076","Issued",
"06/02/2020","BICP20-003972","Building/Commercial/CP/Pool","DEMO OLD SWIMMING POOL FOR COMMUNITY BUILDING AND INSTALL NEW POOL IN THE SAME LOCATION. THE PROJECT CONSISTS OF 3 PERMITS AT SITE. POOL, COMMUNITY BLDG BIT20-003973 AND EQUIP ROOM BIMIC20-003974","1601 DISCOVERY BAY BLVD RD, DISCOVERY BAY CA 94505","Withdrawn",
"01/09/2020","BICP20-000229","Building/Commercial/CP/Pool","NEW SWIMMING POOL FOR BAY POINT FAMILY APARTMENTS","3600 WILLOW PASS RD, BAY POINT CA 94565","Finaled",
"12/18/2019","BICP19-013180","Building/Commercial/CP/Pool","NEW 8'X20' SPA FOR DEER CREEK SOUTH COMPLEX (SAME DWGS AS PERMIT BICP19-013179 FOR POOL)","0 BOLLINGER CANYON RD, SAN RAMON CA 94583","Applied",
"12/18/2019","BICP19-013179","Building/Commercial/CP/Pool","NEW 20'X77' COMMERCIAL POOL FOR DEER CREEK SOUTH COMPLEX (SAME DWGS AS PERMIT BICP19-013180 FOR SPA)","0 BOLLINGER CANYON RD, SAN RAMON CA 94583","Applied",
"07/22/2019","BICP19-007056","Building/Commercial/CP/Pool","POOL IN PODIUM DECK AT MULTIFAMILY BUILDING FOR AVALON WALNUT CREEK II**11/05/20 Expired Permit Renewal 50%-Bushra Toma**","1000 HARVEY DR, WALNUT CREEK CA 94596","Expired",
"03/25/2019","BICP19-002559","Building/Commercial/CP/Pool","REMOVE AND REPLACE CONCRETE POOL DECKING, HAND RAIL AND GRAB RAIL AROUND EXISTING SWIMMING POOL, APPROX 1165 SQ FT. NO WORK TO BE DONE ON EQUIPMENT.","3241 MARLENE DR, LAFAYETTE CA 945494723","Finaled",
"03/04/2019","BICP19-001913","Building/Commercial/CP/Pool","NEW POOL FOR DELTA COVES","130 WEST WIND PL, BETHEL ISLAND CA 94511","Finaled",
"03/04/2019","BICP19-001912","Building/Commercial/CP/Pool","DETACHED SPA FOR DELTA COVES","130 WEST WIND PL, BETHEL ISLAND CA 94511","Finaled",
"03/04/2019","BICP19-001911","Building/Commercial/CP/Pool","KIDDIE POOL FOR DELTA COVES COMMUNITY CENTER","130 WEST WIND PL, BETHEL ISLAND CA 94511","Finaled",
"01/22/2019","BICP19-000625","Building/Commercial/CP/Pool","REPLASTER EXISTING POOL NEW TILE AND COPING PLUMB AUTOFILL, INSTALL ENTRY AND EXIT RAILS AND ANTI ENTRAPMENT ***COMMON AREA ON 5290 SAN PABLO DAM RD***","0 SAN PABLO DAM RD, EL SOBRANTE CA 94803","Finaled",
"01/22/2019","BICP19-000623","Building/Commercial/CP/Pool","REPLASTER EXISTING POOL NEW TILE AND COPING PLUMBING AUTOFILL, INSTALL ENTRY RAIL AND ANTI ENTRAPMENT ***COMMON AREA ON 5305 RIDGEVIEW CIRCLE***","0 SAN PABLO DAM RD, EL SOBRANTE CA 94803","Finaled",
"01/02/2019","BICP19-000012","Building/Commercial/CP/Pool","SPA REMODEL.  REPLACE TILE PER PLANS","2805 JONES RD, WALNUT CREEK CA 945977848","Withdrawn",
"08/29/2018","BICP18-009107","Building/Commercial/CP/Pool","POOL DECK AND RAMP REPAIRS AT PRIVATE COMMUNITY POOL","30 MT WILSON WAY, CLAYTON CA 945171643","Withdrawn",
"06/14/2018","BICP18-006128","Building/Commercial/CP/Pool","REMODEL (E) POOL FOR TOWN OF DISCOVERY BAY COMMUNITY POOL - NEW PLASTER TILE AND COPING - NO CHANGE TO SIZE OR SHAPE OF POOL","1601 DISCOVERY BAY BLVD, DISCOVERY BAY CA 94505","Expired",
"04/03/2018","BICP18-003331","Building/Commercial/CP/Pool","DECKING AROUND COMMERCIAL POOL AT DEWING PARK  --  NO POOL REMODEL","2016 OLYMPIC BLVD, WALNUT CREEK CA 94596","Finaled",
"03/22/2018","BICP18-002928","Building/Commercial/CP/Pool","RESURFACE EXISTING POOL AT LAFAYETTE PARK HOTEL AND INSTALL EGRESS DOORS AT EXITS","3287 MT DIABLO BLVD, LAFAYETTE CA 945494029","Finaled",
"01/12/2018","BICP18-000402","Building/Commercial/CP/Pool","POOL REMODEL AS PART OF BIT17-001931, WORK COMPRISING OF POOL DECKING AND COPING","1345 TREAT BLVD, WALNUT CREEK CA 945972173","Finaled",
"07/31/2017","BICP17-007960","Building/Commercial/CP/Pool","INSTALLATION OF NEW INGROUND SPA FOR DEER CREEK SENIOR CENTER","17011 BOLLINGER CANYON RD, SAN RAMON CA 94583","Finaled",
"07/31/2017","BICP17-007958","Building/Commercial/CP/Pool","INSTALLATION OF NEW INGROUND SWIMMING POOL FOR DEER CREEK SENIOR CENTER","17011 BOLLINGER CANYON RD, SAN RAMON CA 94583","Finaled",
"03/20/2017","BICP17-002514","Building/Commercial/CP/Pool","REPLASTER POOL AND SPA , ANTI-ENTRAPMENT, AND ENTRY RAILS WITH ELECTRICAL AND PLUMBING*** HOA COMMUNITY POOL LOCATED NEAR ""100 CYPRESS CIR"" ***","0 NO ADDRESS, HERCULES CA 94547","Finaled",
"03/16/2017","BICP17-002459","Building/Commercial/CP/Pool","LAFAYETTE SWIM AND TENNIS CLUB - REPLASTER (E) SWIMMING POOL, NEW COPING AND TILE, NEW DECK, REPLACE 2 SKIMMERS, ADD HANDRAIL...ADA UPGRADE IS NEW ACCESSIBLE ENTRANCE TO POOL AREA WITH LANDING/JAK6/26/2017- REVISION TO ADD POOL REPLACEMENT OF EXISTING POOL FENCING TO SCOPE OF WORK/JAK9/29/2017- REVISION TO ADA COMPLIANT ELEMENTS FOR SITE/JAK","3125 CAMINO DIABLO, LAFAYETTE CA 945493209","Expired",
"11/07/2016","BICP16-011326","Building/Commercial/CP/Pool","POOL AREA RENOVATION","121 ROBLE RD, WALNUT CREEK CA 94596","Finaled",
"10/14/2016","BICP16-010492","Building/Commercial/CP/Pool","REPLASTER EXISTING SWIMMING POOL FOR APARTMENT COMPLEX","933 HOUGH AVE, LAFAYETTE CA 945494363","Finaled",
"08/23/2016","BICP16-008442","Building/Commercial/CP/Pool","DEMO AND REBUILD KIDDLE","3016 ROHRER DR, LAFAYETTE CA 94549","Finaled",
