"File Date","Record Number","Record Type","Description","Address","Status",
"07/02/2020","BIPRJ20-00010","Building/Project/Pool/NA",,"11 WIMPOLE ST, MORAGA CA 945562417","Void",
"05/19/2020","BIPRJ20-00009","Building/Project/Pool/NA","2019 CBC MASTER PLAN FOR ""UNIQUE POOLS"" LICENSE 1000570 ENGINEERING PLAN 100","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Plan Check",
"03/04/2020","BIPRJ20-00006","Building/Project/Pool/NA","2019 CBC MASTER PLAN FOR ""RIVIERA POOLS"" LIC# 449482POOL ENGINEERING INC PLAN 100 AND DETAIL #'S: 240-60, 320, 324, 400-60, 501","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Plan Check",
"02/25/2020","BIPRJ20-00004","Building/Project/Pool/NA","2019 CBC MASTER PLAN FOR ""PREMIER POOLS & SPA"" LIC# 770763POOL ENGINEERING INC PLAN 100FULL PLAN CHECK FEES CHARGED ON BIP20-003454, FIRST PERMIT UNDER NEW 2019 MASTER PLAN..  ALL FUTURE POOLS MASTER PLAN CHECK ONLY-NTORRES","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Approved",
"02/12/2020","BIPRJ20-00002","Building/Project/Pool/NA","2019 CBC MASTER PLAN FOR ""SWAN POOLS"" LIC#775835 POOL ENGINEERING INC PLAN 100","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Approved",
"02/07/2020","BIPRJ20-00001","Building/Project/Pool/NA","2019 CBC MASTER PLAN FOR ""HAWKINS POOLS"" LIC# 454213POOL ENGINEERING INC PLAN 100","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Approved",
"07/18/2017","BIPRJ17-00027","Building/Project/Pool/NA","HAWKINS POOLS --- MASTER PLAN --- POOL ENGINEERING, PLAN 100","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Approved",
"05/23/2017","BIPRJ17-00024","Building/Project/Pool/NA","POOL MASTER PLAN FOR ""PREMIER POOLS & SPA"" LIC# 770763POOL ENGINEERING INC PLAN 100",,"Approved OTC with Review",
"04/17/2017","BIPRJ17-00017","Building/Project/Pool/NA","UNIQUE POOLS / MASTER PLAN / POOL ENGINEERING PLAN 100",,"Approved OTC with Review",
"02/16/2017","BIPRJ17-00008","Building/Project/Pool/NA","RIVIERA POOLS -- MASTER PLAN -- POOL ENGINEERING INC, PLAN 100, AND DETAIL #'S: 240-60, 320, 324, 400-60, 501*** PLAN CHECK FEE PAID ON PERMIT # BIP17-001917 ***",,"BI Approved",
"02/01/2017","BIPRJ17-00006","Building/Project/Pool/NA","SWAN POOLS -- MASTER PLAN -- POOL ENGINEERING INC, PLAN 100*** PLAN CHECK FEE PAID UNDER PERMIT # BIP17-000495 ***",,"Approved OTC",
"04/13/2015","BIPRJ15-00006","Building/Project/Pool/NA","PARAGON POOLS --- MASTER PLAN ---- POOL ENGINEERING INC -- PLAN 100","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","Approved OTC",
"01/09/2015","BIPRJ15-00001","Building/Project/Pool/NA","PREMIER POOLS ----- MASTER PLAN - RESIDENTIAL-- POOL ENGINEERING INC -- PLAN 100 --","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","BI Approved",
"03/13/2014","BIPRJ14-00023","Building/Project/Pool/NA","RIVIERA POOLS ------- MASTER PLAN, PRIVATE POOL ------- PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"02/18/2014","BIPRJ14-00017","Building/Project/Pool/NA","RPW PROFESSIONAL POOLS INC ------ MASTER PLAN, PRIVATE POOL ------- McHALE ENGINEERING, PLAN - B70 --- FOR 2013 BUILDING CODES","0 ARNOLD INDUSTRIAL HWY, CONCORD CA 94520","Approved OTC",
"02/18/2014","BIPRJ14-00016","Building/Project/Pool/NA","RPW PROFESSIONAL POOLS INC ------ MASTER PLAN, PRIVATE POOL ------- McHALE ENGINEERING, PLAN - B70",,"Withdrawn",
"01/15/2014","BIPRJ14-00008","Building/Project/Pool/NA","UNIQUE POOLS ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC) 2013 CODE",,"BI Approved",
"12/23/2013","BIPRJ13-00041","Building/Project/Pool/NA","POOL PER PLANS","1088 VIA ROBLE, LAFAYETTE CA 945492925","Cancelled",
"03/05/2012","BIPRJ12-00011","Building/Project/Pool/NA","SHAPELL HOMES ALAMO CREEK POOL HOUSE ROOF TRUSSES","CA","BI Plan Check",
"08/11/2011","BIPRJ11-00062","Building/Project/Pool/NA","RPW PROFESSIONAL POOLS INC ------ MASTER PLAN, PRIVATE POOL ------- McHALE ENGINEERING, PLAN - B70",,"Applied",
"06/22/2011","BIPRJ11-00052","Building/Project/Pool/NA","RIVIERA POOLS ------- MASTER PLAN, PRIVATE POOL ------- PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"06/08/2011","BIPRJ11-00050","Building/Project/Pool/NA","UNIQUE POOLS ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"06/08/2011","BIPRJ11-00049","Building/Project/Pool/NA","MAJESTIC LANDSCAPE ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"04/26/2011","BIPRJ11-00039","Building/Project/Pool/NA","ALTA QUALITY POOLS ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"03/08/2011","BIPRJ11-00024","Building/Project/Pool/NA","SWAN POOLS ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC)",,"Approved OTC with Review",
"02/25/2011","BIPRJ11-00023","Building/Project/Pool/NA","PARAGON POOLS ----- MASTER PLAN, PRIVATE POOL ------ PLAN 100 (POOL ENGINEERING INC)",,"BI Approved",
"11/16/2006","BIKPMP050011","Building/Project/Pool/NA","PRIVATE POOLS",,,
"10/31/2006","BIKPMP060006","Building/Project/Pool/NA",,,,
"09/21/2006","BIKPMP060005","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/11/2006","BIKPMP060004","Building/Project/Pool/NA","PRIVATE POOL",,,
"03/06/2006","BIKPMP060003","Building/Project/Pool/NA","PRIVATE POOL",,,
"02/23/2006","BIKPMP060002","Building/Project/Pool/NA","PRIVATE POOL",,,
"11/23/2005","BIKPMP050013","Building/Project/Pool/NA","PRIVATE POOLS",,,
"11/23/2005","BIKPMP050012","Building/Project/Pool/NA","PRIVATE POOL",,,
"10/28/2005","BIKPMP050010","Building/Project/Pool/NA","PRIVATE POOL",,,
"10/28/2005","BIKPMP050009","Building/Project/Pool/NA","PRIVATE POOL",,,
"07/14/2005","BIKPMP050008","Building/Project/Pool/NA","PRIVATE POOL",,,
"06/28/2005","BIKPPC050010","Building/Project/Pool/NA",,,,
"06/16/2005","BIKPMP050007","Building/Project/Pool/NA","PRIVATE POOL",,,
"06/14/2005","BIKPMP050006","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/27/2005","BIKPMP050005","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/04/2005","BIKPPC050006","Building/Project/Pool/NA","PRIVATE POOLS",,,
"05/04/2005","BIKPMP050004","Building/Project/Pool/NA","PRIVATE POOL",,,
"04/22/2005","BIKPMP050003","Building/Project/Pool/NA","PRIVATE POOL",,,
"04/20/2005","BIKPMP050002","Building/Project/Pool/NA","PRIVATE POOL",,,
"09/03/2004","BIKPMP030012","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/04/2004","BIKPMP040003","Building/Project/Pool/NA","PRIVATE POOL- SWAN POOLS",,,
"03/04/2004","BIKPMP040002","Building/Project/Pool/NA","SIGNATURE POOLS MASTER PLAN",,,
"08/28/2003","BIKPMP030011","Building/Project/Pool/NA","PRIVATE POOL",,,
"07/22/2003","BIKPMP030010","Building/Project/Pool/NA","POOL-CREAT ENV-LONGR THN 44 FT",,,
"06/16/2003","BIKPMP030009","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/19/2003","BIKPMP030008","Building/Project/Pool/NA","SWAN POOLS-NORCAL 2003 PLAN",,,
"05/19/2003","BIKPMP030007","Building/Project/Pool/NA","GUNITE POOL-NATURE'S REFL(A50)",,,
"05/19/2003","BIKPMP030006","Building/Project/Pool/NA","AQUA POOL & SPA/MSTR PLAN",,,
"04/28/2003","BIKPMP030005","Building/Project/Pool/NA","POOLS BY DESIGN MSTR PLAN",,,
"04/08/2003","BIKPPC030005","Building/Project/Pool/NA","RESIDENTIAL POOL /HACIENDA 14",,,
"03/25/2003","BIKPMP030004","Building/Project/Pool/NA","PRIVATE POOL PLAN 14",,,
"03/24/2003","BIKPMP030003","Building/Project/Pool/NA","PRIVATE POOL",,,
"01/27/2003","BIKPMP030002","Building/Project/Pool/NA","RSDTL POOL/RIVIERA POOLS/FITCH",,,
"12/26/2002","BIKPMP020008","Building/Project/Pool/NA","PRIVATE POOL",,,
"11/13/2002","BIKPMP020007","Building/Project/Pool/NA","PRIVATE POOL",,,
