"File Date","Record Number","Record Type","Description","Address","Status",
"07/01/2021","BIP21-007729","Building/Residential/P/Pool","NEW POOL AND SPA","4037 HAPPY VALLEY RD, LAFAYETTE CA 945492424","BI Plan Check",
"07/01/2021","BIP21-007723","Building/Residential/P/Pool","NEW IN-GROUND GUNITE SWIMMING POOL, DECK (400SF),  ALARMS, BARRIERS, WATERFALL, EQUIPMENT","8032 WESTPORT CIR, DISCOVERY BAY CA 945052678","Planning Review",
"06/30/2021","BIP21-007696","Building/Residential/P/Pool","POOL/SPA RESURFACE, TILE & INSTALL DRAINS, COVER PER CODE.","454 RED WING DR, ALAMO CA 945072710","Issued",
"06/27/2021","BIP21-007548","Building/Residential/P/Pool","NEW IN-GROUND POOL& SPA, EQUIPMENT.","3045 DEER MEADOW DR, DANVILLE CA 945062190","Planning Review",
"06/25/2021","BIP21-007484","Building/Residential/P/Pool","NEW POOL","20 RAVEN HILL LN, MORAGA CA 945561319","Applied",
"06/24/2021","BIP21-007460","Building/Residential/P/Pool","NEW INGROUND GUNITE SWIMMING POOL & SPA","9700 MONTICELLO WAY, DISCOVERY BAY CA 945052691","Issued",
"06/23/2021","BIP21-007397","Building/Residential/P/Pool","NEW INGROUND SWIMMING POOL AND SPA TO INCLUDE GAS STUB OUTS FOR FUTURE FIREPIT AND BBQ","13 SANDERS RANCH RD, MORAGA CA 945562801","BI Plan Check",
"06/22/2021","BIP21-007357","Building/Residential/P/Pool","REPLACE VINYL IN GROUND POOL WITH GUNITE & STEEL POOL. INSTALL POOL EQUIPMENT.","103 REGENCY DR, CLAYTON CA 945171716","BI Plan Check",
"06/22/2021","BIP21-007336","Building/Residential/P/Pool","INGROUND GUNITE SWIMMING POOL AND SPA","2051 MONTAUK CT, DISCOVERY BAY CA 945059119","Planning Review",
"06/22/2021","BIP21-007334","Building/Residential/P/Pool","CONSTRUCTION OF AN INGROUND GUNITE SWIMMING POOL 26' X 11'","5604 BERWICK CT, DISCOVERY BAY CA 945051404","Planning Review",
"06/21/2021","BIP21-007248","Building/Residential/P/Pool","NEW POOL, SPA & EQUIPMENT.  RUN GAS LINE FOR FIRE PIT. INTALL PATIO.","2973 LIMESTONE RD, ALAMO CA 945071606","Issued",
"06/21/2021","BIP21-007214","Building/Residential/P/Pool","NEW POOL WITH SPA & EQUIPMENT, STUBOUT FOR FIREPIT & FIREPIT  INCLUDED IN THIS PERMIT.","3217 ACALANES AVE, LAFAYETTE CA 945493206","Issued",
