"File Date","Record Number","Record Type","Description","Address","Status",
"03/29/2017","BISP17-002864","Building/Residential/SP/Spa","GUNITE SPA","3644 DEER TRAIL DR, DANVILLE CA 945066020","Withdrawn",
"11/28/2016","BISP16-011902","Building/Residential/SP/Spa","NEW INDOOR SPA IN RECREATION ROOM.1-20-17- REVISION- REVISED SIZE OF SPA. LU","716 ARDLEIGH CT, SAN RAMON CA 945836011","Finaled",
"11/21/2016","BISP16-011760","Building/Residential/SP/Spa","SPA PER PLAN","3422 SILVER MAPLE DR, DANVILLE CA 945064637","Finaled",
"08/25/2016","BISP16-008633","Building/Residential/SP/Spa","IN-GROUND SPA.  220 V STUB OUT FOR FUTURE VEHICLE CHARGER.  SEPARATE PERMIT REQUIRED FOR INSTALLATION OF VEHICLE CHARGER.  ELECTRICAL:  CHASE ELECTRIC LICENSE # 1010184","3199 ANDREASEN DR, LAFAYETTE CA 945494801","Cancelled",
"06/29/2015","BISP15-006583","Building/Residential/SP/Spa","NEW INGROUND SPA IN REAR YARD","460 OAKSHIRE PL, ALAMO CA 945072332","Withdrawn",
"06/23/2015","BISP15-006240","Building/Residential/SP/Spa","NEW INGROUND GUNITE SPA WITH INFINITY EDGE AND RETAINING WALL","298 BARRINGTON LN, ALAMO CA 945071749","Withdrawn",
"06/12/2015","BISP15-005873","Building/Residential/SP/Spa","NEW INGROUND SPA","55 COUNTRYSIDE CT, WALNUT CREEK CA 945952622","Withdrawn",
"04/20/2015","BISP15-003803","Building/Residential/SP/Spa","NEW SPA","6 RABBLE RD, ORINDA CA 94563","Withdrawn",
"02/17/2015","BISP15-001444","Building/Residential/SP/Spa","GUNITE SPA AND EQUIPMENT PER PLANS","209 MORAGA WAY, ORINDA CA 945633818","Withdrawn",
"02/12/2015","BISP15-001343","Building/Residential/SP/Spa","NEW DETACHED SPA.","38 EL CAMINO TER, WALNUT CREEK CA 94596","Expired-NPI",
"01/29/2015","BISP15-000884","Building/Residential/SP/Spa","KOI POND CONVERTED TO GUNITE SPA.","55 LESLYN LN, LAFAYETTE CA 945492527","Approved OTC with Review",
"01/09/2015","BISP15-000297","Building/Residential/SP/Spa","NEW DETACHED  SPA","124 ALAMO SPRINGS DR, ALAMO CA 945072065","Expired",
"06/25/2014","BISP14-005666","Building/Residential/SP/Spa","NEW IN-GROUND GUNITE SPA","406 LEGACY DR, ALAMO CA 94507","Finaled",
"04/14/2014","BISP14-003067","Building/Residential/SP/Spa","NEW INGROUND GUNITE SPA","5 TARRY LN, ORINDA CA 945631312","Withdrawn",
"01/09/2014","BISP14-000253","Building/Residential/SP/Spa","CREATE NEW INGROUND SPA TO EXISTING POOL AND RELOCATE EQUIPMENT PER PLANS","3302 GLENSIDE DR, LAFAYETTE CA 945495139","Finaled",
"11/25/2013","BISP13-010029","Building/Residential/SP/Spa","NEW GUNITE SPA IN REAR YARD","2540 CABALLO RANCHERO DR, DIABLO CA 94528","Cancelled",
"11/12/2013","BISP13-009636","Building/Residential/SP/Spa","GUNITE SPA PER PLANS","3307 LAS HUERTAS RD, LAFAYETTE CA 94549","Withdrawn",
