"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"06/03/2021","2021-0473","City Residential Pool","NEW STANDARD POOL - NO HEAT AND SPA -  WITH FIRE PIT","1131 CAROLYN ST, RIDGECREST CA","Approved",,
"06/03/2021","2021-0472","City Residential Pool","NEW STANDARD POOL - NO HEAT AND SPA","1644 PORTER ST, RIDGECREST CA","Approved",,
"06/03/2021","2021-0474","City Residential Pool","NEW STANDARD POOL WITH HEAT/SPA/FIRE PIT","1130 MARBELLA, RIDGECREST CA 93555","Approved",,
"04/27/2021","2021-0351","City Residential Pool","NEW POOL (NO HEAT OR SPA) STANDARD PLAN","701 SHERRI CT, RIDGECREST CA","Approved",,
"04/06/2021","2021-0288","City Residential Pool","NEW STANDARD POOL WITH NO HEAT AND SPA","1220 QUAIL WY, RIDGECREST CA","Approved",,
"04/06/2021","2021-0238","City Residential Pool","NEW STANDARD POOL WITH HEAT AND SPA","1106 VIA FLORE, RIDGECREST CA 93555","Approved",,
"03/31/2021","2021-0268","City Residential Pool","NEW POOL WITH HEAT AND SPA - STANDARD","425 LORENE CT, RIDGECREST CA","Approved",,
"02/17/2021","2021-0144","City Residential Pool","NEW POOL - NO HEAT OR SPA - STANDARD","825 SHERRI ST, RIDGECREST CA","Approved",,
"02/17/2021","2021-0145","City Residential Pool","NEW POOL WITH HEAT AND SPA - STANDARD","108 RANCHO DEL CERRO, RIDGECREST CA 93555","Approved",,
"02/16/2021","2021-0125","City Residential Pool","NEW STANDARD POOL WITH NO HEAT AND SPA","301 CIELO AV, RIDGECREST CA","Approved",,
"02/09/2021","2020-01052","City Residential Pool","VINYL POOL","208 SALT RIVER DR, RIDGECREST CA","Applied",,
"01/25/2021","2020-01100","City Residential Pool","NEW VINYL POOL - NO HEAT OR SPA","908 JESSICA ST, RIDGECREST CA","Approved",,
"01/20/2021","2021-0051","City Residential Pool","NEW POOL WITH HEAT AND SPA - STANDARD","120 RAINSHADOW CT, RIDGECREST CA","Approved",,
"01/19/2021","2021-0047","City Residential Pool","NEW STANDARD POOL WITH NO HEAT AND SPA","2329 DEL ROSA, RIDGECREST CA 93555","Approved",,
"01/19/2021","2021-0046","City Residential Pool","NEW STANDARD POOL WITH HEAT AND SPA","119 S BRIANNA ST, RIDGECREST CA","Approved",,
"01/07/2021","2021-0025","City Residential Pool","NEW POOL WITH HEAT AND SPA","100 RANCHO DEL CERRO, RIDGECREST CA 93555","Approved",,
"01/07/2021","2021-0024","City Residential Pool","NEW POOL WITH HEAT AND SPA","1109 MEADOWVIEW LN, RIDGECREST CA","Approved",,
"12/10/2020","2020-1100","City Residential Pool","NEW VINYL POOL - NO HEAT OR SPA","908 JESSICA ST, RIDGECREST CA","Approved",,
"12/03/2020","2020-1062","City Residential Pool","NEW POOL WITH HEAT AND SPA","200 W JAVIS AV, RIDGECREST CA","Approved",,
"11/24/2020","2020-1052","City Residential Pool","VINYL POOL","208 SALT RIVER DR, RIDGECREST CA","Approved",,
"10/22/2020","2020-0938","City Residential Pool","NEW POOL WITH HEAT AND SPA","412 S ACACIA ST, RIDGECREST CA","Finaled",,
"09/30/2020","2020-0853","City Residential Pool","STANDARD POOL WITH HEAT AND SPA","204 SALT RIVER DR, RIDGECREST CA","Approved",,
"09/24/2020","2020-0818","City Residential Pool","NEW STANDARD POOL WITH NO HEAT OR SPA","819 EMMA WY, RIDGECREST CA","Approved",,
"09/24/2020","2020-0817","City Residential Pool","NEW STANDARD POOL WITH HEAT AND SPA","124 MOJAVE ROSE AV, RIDGECREST CA","Approved",,
"09/24/2020","2020-0816","City Residential Pool","NEW STANDARD POOL WITH HEAT AND SPA","1101 VICKI AV, RIDGECREST CA","Approved",,
"09/24/2020","2020-0819","City Residential Pool","NEW STANDARD POOL WITH HEAT AND SPA","630 HOWELL ST, RIDGECREST CA","Approved",,
"09/23/2020","2020-0699","City Residential Pool","NEW STANDARD POOL WITH NO HEAT OR SPA AND BBQ PIT","407 VISTA DEL LAGO ST, RIDGECREST CA","Finaled",,
"09/22/2020","2020-0805","City Residential Pool","SWIMMING POOL WITH HEAT AND SPA","104 MAJESTIC SKY CT, RIDGECREST CA","Approved",,
