"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"07/06/2020","K202004696","Commercial Pool","HARPER POOLS","2524 BEECHWOOD WY, PINE MOUNTAIN CLUB CA","Finaled",,
"11/03/2017","K201707774","Commercial Pool",,"5601 OUTLETS AT TEJON PW, ARVIN CA","Finaled",,
"05/09/2016","K201603212","Commercial Pool",,"8700 SPECTRUM PARK WY, BAKERSFIELD CA","Finaled",,
"03/02/2015","K201501400","Commercial Pool",,"19480 QUINN RD, BAKERSFIELD CA","Finaled",,
"11/17/2014","K201408096","Commercial Pool",,"4200 COUNTRY CLUB DR, BAKERSFIELD CA","Finaled",,
"08/18/2014","K201405764","Commercial Pool",,"1545 EDWARDS AV, ROSAMOND CA","Finaled",,
"08/18/2014","K201405738","Commercial Pool",,"2530 FELSITE AV, ROSAMOND CA","Canceled",,
"02/13/2014","K201400796","Commercial Pool",,"999999 STD PLAN, BAKERSFIELD CA","Closed",,
"12/18/2013","K201307965","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Closed",,
"05/23/2011","K201102314","Commercial Pool",,"14637 TRIBUTE WY, BAKERSFIELD CA","Finaled",,
"06/17/2008","K200803702","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Finaled",,
"05/22/2008","K200803094","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Canceled",,
"11/08/2007","07-1181","Commercial Pool",,"340 S DOWNS ST, RIDGECREST CA","Applied",,
"12/22/2005","K200512170","Commercial Pool",,"99999 STANDARD PLAN, BAKERSFIELD CA","Finaled",,
"06/30/2005","K200505882","Commercial Pool",,"6257 KNUDSEN DR, BAKERSFIELD CA","Finaled",,
"02/23/2004","K200401418","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Canceled",,
"10/30/2003","K200307472","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Finaled",,
"10/06/2003","K200306749","Commercial Pool",,"1050 WOOD ST, TAFT CA","Finaled",,
"11/29/2001","K200106134","Commercial Pool",,"1808 LONGREACH DR, BAKERSFIELD CA","Finaled",,
"10/24/2001","K200105397","Commercial Pool",,"15702 STEPHENIE ST, BAKERSFIELD CA","Finaled",,
"10/19/2001","K200105303","Commercial Pool",,"2800 ADEE LN, BAKERSFIELD CA","Finaled",,
"07/25/2001","K200103848","Commercial Pool",,"927 VINELAND RD, BAKERSFIELD CA","Finaled",,
"07/10/2001","K200103553","Commercial Pool",,"653 VINELAND RD, BAKERSFIELD CA","Canceled",,
"06/21/2001","K200103226","Commercial Pool",,"14700 DOBBS AV, BAKERSFIELD CA","Finaled",,
"06/12/2001","K200102989","Commercial Pool",,"15501 BLACK HAWK AV, BAKERSFIELD CA","Finaled",,
"05/21/2001","K200102503","Commercial Pool",,"1144 WHITENDALE ST, BAKERSFIELD CA","Finaled",,
"05/21/2001","K200102501","Commercial Pool",,"1772 GLENWOOD DR, BAKERSFIELD CA","Finaled",,
"05/15/2001","K200102408","Commercial Pool",,"24120 SAN JUAN DR, TEHACHAPI CA","Finaled",,
"05/15/2001","K200102407","Commercial Pool",,"23080 SAN JUAN DR, TEHACHAPI CA","Finaled",,
"04/30/2001","K200102071","Commercial Pool",,"7804 TERRY JOHN AV, BAKERSFIELD CA","Finaled",,
"04/27/2001","K200102047","Commercial Pool",,"13320 BLODGET AV, BAKERSFIELD CA","Finaled",,
"04/20/2001","K200101913","Commercial Pool",,"1500 WATER CREST CT, BAKERSFIELD CA","Finaled",,
