"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"05/28/2021","K202104549","Residential Pool",,"1805 LAWSON RD, BAKERSFIELD CA","Issued",,
"05/28/2021","K202104542","Residential Pool",,"508 SHADY MEADOW CT, KERN COUNTY CA","Issued",,
"05/28/2021","K202104540","Residential Pool",,"15100 MISTLETOE AV, BAKERSFIELD CA","Issued",,
"05/28/2021","K202104536","Residential Pool",,"15905 QUINTERO PL, KERN COUNTY CA","Issued",,
"05/26/2021","K202104486","Residential Pool",,"8824 PONDEROSA AV, BAKERSFIELD CA","Issued",,
"05/26/2021","K202104475","Residential Pool",,"6010 PIONEER DR, BAKERSFIELD CA","Issued",,
"05/21/2021","K202104310","Residential Pool","ALOHA POOLS","3423 WEEDPATCH HW, EDISON CA","Issued",,
"05/20/2021","K202104261","Residential Pool",,"14508 EVADELL CT, BAKERSFIELD CA","In Review",,
"05/19/2021","K202104254","Residential Pool",,,"Applied",,
"05/19/2021","K202104250","Residential Pool",,"17348 ROSEDALE HY, BAKERSFIELD CA","Issued",,
"05/18/2021","K202104187","Residential Pool",,"15114 RYE FIELD DR, BAKERSFIELD CA","Issued",,
"05/18/2021","K202104188","Residential Pool",,"14513 POMEGRANATE AV, BAKERSFIELD CA","Issued",,
"05/17/2021","K202104140","Residential Pool",,"1027 VIA ELIANA, BAKERSFIELD CA","Issued",,
"05/15/2021","K202104101","Residential Pool",,"15649 RUBICON AV, BAKERSFIELD CA","Applied",,
"05/13/2021","K202104061","Residential Pool",,"10715 S UNION AV, BAKERSFIELD CA","Issued",,
"05/07/2021","K202103870","Residential Pool",,"3218 PATTI ROSE AV, KERN COUNTY CA","Issued",,
"05/07/2021","K202103854","Residential Pool",,"14827 TRIBUTE WY, BAKERSFIELD CA","Issued",,
"05/06/2021","K202103811","Residential Pool",,"2215 LESTER ST, BAKERSFIELD CA","Issued",,
"05/06/2021","K202103810","Residential Pool",,"9610 VAL DI CHIANA DR, BAKERSFIELD CA","Issued",,
"05/05/2021","K202103793","Residential Pool",,"16333 SALMON BAY CT, BAKERSFIELD CA","Issued",,
"05/05/2021","K202103785","Residential Pool",,"19734 BRIMHALL RD, BAKERSFIELD CA","Issued",,
"05/03/2021","K202103666","Residential Pool",,"14043 PATRICK LN, BAKERSFIELD CA","Issued",,
"04/30/2021","K202103647","Residential Pool",,"7233 FOUNTAIN VALLEY DR, BAKERSFIELD CA","Issued",,
"04/30/2021","K202103634","Residential Pool",,"15029 PINION CT, KERN COUNTY CA","Issued",,
"04/29/2021","K202103601","Residential Pool",,"15805 S H ST, BAKERSFIELD CA","Issued",,
"04/29/2021","K202103582","Residential Pool",,"14604 EVADELL CT, BAKERSFIELD CA","Issued",,
"04/29/2021","K202103581","Residential Pool",,"15424 QUINTERO PL, BAKERSFIELD CA","Issued",,
"04/28/2021","K202103549","Residential Pool",,"1220 E BELLE VISTA AV, RIDGECREST CA","Issued w/Revision",,
"04/27/2021","K202103525","Residential Pool",,"677 NEUFELD CT, SHAFTER CA","Canceled",,
"04/27/2021","K202103522","Residential Pool",,"208 ROBIN WY, TAFT CA","Canceled",,
"04/27/2021","K202103467","Residential Pool",,"14737 PAMS WY, BAKERSFIELD CA","Issued",,
"04/26/2021","K202103420","Residential Pool",,"3160 BATCH LN, BAKERSFIELD CA","Issued",,
"04/26/2021","K202103418","Residential Pool",,"13119 LAS POSIDAS CT, BAKERSFIELD CA","Issued",,
"04/20/2021","K202103285","Residential Pool",,"15918 LA STRADA CT, KERN COUNTY CA","Issued",,
"04/20/2021","K202103283","Residential Pool",,"4005 STONEWICK DR, BAKERSFIELD CA","Issued",,
"04/19/2021","K202103219","Residential Pool",,"13929 LA CASCADA CT, BAKERSFIELD CA","Issued",,
"04/16/2021","K202103169","Residential Pool",,"14709 BLUE STREAM AV, BAKERSFIELD CA","Finaled",,
"04/16/2021","K202103170","Residential Pool",,"15703 SAN MARCO PL, BAKERSFIELD CA","Issued",,
"04/16/2021","K202103168","Residential Pool",,"14615 EVADELL CT, BAKERSFIELD CA","Issued",,
"04/15/2021","K202103123","Residential Pool",,"537 FAIRWAY DR, BAKERSFIELD CA","Issued",,
"04/15/2021","K202103122","Residential Pool",,"15854 OPUS ONE DR, BAKERSFIELD CA","Issued",,
"04/14/2021","K202103068","Residential Pool",,"538 EAGLECREST RD, BAKERSFIELD CA","Issued",,
"04/14/2021","K202103066","Residential Pool",,"16400 BRIMHALL RD, BAKERSFIELD CA","Issued",,
"04/14/2021","K202103058","Residential Pool",,"1906 DEERFIELD ST, BAKERSFIELD CA","Issued",,
"04/12/2021","K202102992","Residential Pool",,"15033 MAHOGANY CT, KERN COUNTY CA","Issued",,
"04/12/2021","K202102991","Residential Pool",,"19475 CAVANAGH ST, BAKERSFIELD CA","Issued",,
"04/12/2021","K202102972","Residential Pool",,"4310 CAROSAM RD, BAKERSFIELD CA","Issued",,
"04/09/2021","K202102942","Residential Pool",,"10421 ROUND MOUNTAIN RD, BAKERSFIELD CA","Issued",,
"04/09/2021","K202102941","Residential Pool",,"3111 EMERALD ARBOR ST, BAKERSFIELD CA","Issued",,
"04/08/2021","K202102909","Residential Pool",,"10609 MC CORMAC AV, BAKERSFIELD CA","Issued",,
"04/08/2021","K202102893","Residential Pool",,"15808 TALLUS RANCH DR, BAKERSFIELD CA","Issued",,
"04/07/2021","K202102874","Residential Pool","CASCADE POOLS","3521 POSITANO PL, BAKERSFIELD CA","Issued",,
"04/06/2021","K202102823","Residential Pool",,"15100 DOBBS AV, BAKERSFIELD CA","Issued",,
"04/06/2021","K202102800","Residential Pool",,"16416 BLAKE ISLAND CT, BAKERSFIELD CA","Issued",,
"04/02/2021","K202102726","Residential Pool",,"15015 RYE FIELD DR, BAKERSFIELD CA","Finaled",,
"04/02/2021","K202102725","Residential Pool",,"15744 LA STRADA CT, BAKERSFIELD CA","Issued",,
"04/01/2021","K202102673","Residential Pool",,"16224 COASTAL CT, BAKERSFIELD CA","In Review",,
"03/30/2021","K202102577","Residential Pool",,"12000 WHIPPOORWILL, BAKERSFIELD CA","Issued",,
"03/30/2021","K202102545","Residential Pool",,"15428 SAINT CLEMENT WY, BAKERSFIELD CA","Issued",,
"03/26/2021","K202102468","Residential Pool",,"15811 JOHNSON RD, BAKERSFIELD CA","Finaled",,
"03/25/2021","K202102438","Residential Pool",,"3800 VERDUGO LN, BAKERSFIELD CA","Finaled",,
"03/24/2021","K202102403","Residential Pool",,"15801 QUINTERO PL, BAKERSFIELD CA","Issued",,
"03/24/2021","K202102382","Residential Pool",,"22604 TALLYHO CT, TEHACHAPI CA","Applied",,
"03/23/2021","K202102355","Residential Pool",,"5408 PIONEER DR, BAKERSFIELD CA","In Review",,
"03/23/2021","K202102348","Residential Pool",,"13101 LAS POSIDAS CT, BAKERSFIELD CA","Issued",,
"03/23/2021","K202102347","Residential Pool",,"14912 MISTLETOE AV, BAKERSFIELD CA","Issued",,
"03/23/2021","K202102346","Residential Pool",,"8025 PEANUT AV, BAKERSFIELD CA","Finaled",,
"03/23/2021","K202102321","Residential Pool",,"7908 JILL JEAN AV, BAKERSFIELD CA","Issued",,
"03/19/2021","K202102265","Residential Pool",,"8824 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"03/17/2021","K202102147","Residential Pool",,"6 DURWOOD ST, KERNVILLE CA","Issued",,
