,Unnamed: 0,Date,Permit Number,Status,Permit Type,County,State
0,0.0,2021-05-21,B202107273,Terminate,Commercial Pools and Spas,maricopa,AZ
1,1.0,2021-05-11,B202106620,Terminate,Commercial Pools and Spas,maricopa,AZ
2,2.0,2021-02-17,B202102045,Terminate,Commercial Pools and Spas,maricopa,AZ
3,3.0,2021-01-18,B202100624,Terminate,Commercial Pools and Spas,maricopa,AZ
4,4.0,2020-10-14,B202011379,Terminate,Commercial Pools and Spas,maricopa,AZ
5,5.0,2020-08-20,B202008962,Reissued,Commercial Pools and Spas,maricopa,AZ
6,6.0,2020-07-28,B202007940,Terminate,Commercial Pools and Spas,maricopa,AZ
7,7.0,2020-06-12,B202006048,Terminate,Commercial Pools and Spas,maricopa,AZ
8,8.0,2020-05-22,B202005251,Terminate,Commercial Pools and Spas,maricopa,AZ
9,9.0,2020-05-12,B202004889,Final,Commercial Pools and Spas,maricopa,AZ
10,10.0,2020-05-12,B202004862,Final,Commercial Pools and Spas,maricopa,AZ
11,11.0,2020-04-24,B202004682,Terminate,Commercial Pools and Spas,maricopa,AZ
12,12.0,2020-04-23,B202004122,Initialized,Commercial Pools and Spas,maricopa,AZ
13,13.0,2020-04-22,B202004066,Resubmit,Commercial Pools and Spas,maricopa,AZ
14,14.0,2020-04-13,B202003591,Terminate,Commercial Pools and Spas,maricopa,AZ
15,15.0,2020-04-08,B202003416,Terminate,Commercial Pools and Spas,maricopa,AZ
16,16.0,2019-10-21,B201909880,Issued,Commercial Pools and Spas,maricopa,AZ
17,17.0,2019-07-19,B201906714,Terminate,Commercial Pools and Spas,maricopa,AZ
18,18.0,2019-07-19,B201906697,Terminate,Commercial Pools and Spas,maricopa,AZ
19,19.0,2019-07-17,B201906713,Terminate,Commercial Pools and Spas,maricopa,AZ
20,20.0,2019-07-16,B201906571,Terminate,Commercial Pools and Spas,maricopa,AZ
21,21.0,2019-06-08,B201905326,Terminate,Commercial Pools and Spas,maricopa,AZ
22,22.0,2019-05-21,B201904701,Approved,Commercial Pools and Spas,maricopa,AZ
23,23.0,2018-12-19,B201811451,Certificate of Occupancy,Commercial Pools and Spas,maricopa,AZ
24,24.0,2018-11-29,B201810813,Final,Commercial Pools and Spas,maricopa,AZ
25,25.0,2018-10-31,B201809970,Terminate,Commercial Pools and Spas,maricopa,AZ
26,26.0,2018-04-20,B201803647,Final,Commercial Pools and Spas,maricopa,AZ
27,27.0,2017-08-25,B201708030,Final,Commercial Pools and Spas,maricopa,AZ
28,28.0,2017-06-07,B201705174,Final,Commercial Pools and Spas,maricopa,AZ
