,Permit Number,Date,Status,Address,Permit Type,County,State
0,0163055,2016-03-30,Complete,00716 GLENMERE DR,"Commercial Pool, Spa or Hot Tub",wake,NC
1,CBPR-022975-2019,2019-08-01,Withdrawn,109 GORGES PARK DR HOLLY SPRINGS 27540,"Commercial Pool, Spa or Hot Tub",wake,NC
2,CBPR-019666-2019,2019-06-04,Withdrawn,5730 DILLARD DR CARY 27518,"Commercial Pool, Spa or Hot Tub",wake,NC
3,CBPR-021074-2019,2019-06-27,Withdrawn,6350 TERRA VERDE DR RALEIGH 27609,"Commercial Pool, Spa or Hot Tub",wake,NC
4,CBPR-015613-2019,2019-03-25,Withdrawn,1605 TIMBER DR E GARNER 27529,"Commercial Pool, Spa or Hot Tub",wake,NC
5,CBPR-039493-2020,2020-06-11,Withdrawn,4027 DAVIS DR MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
6,CBPR-021809-2019,2019-07-12,Void,109 GORGES PARK DR HOLLY SPRINGS 27540,"Commercial Pool, Spa or Hot Tub",wake,NC
7,0160931,2015-09-16,Complete,1202 REDWOOD VALLEY LN,"Commercial Pool, Spa or Hot Tub",wake,NC
8,0120994,2011-11-16,Complete,202 HINTON VIEW LN,"Commercial Pool, Spa or Hot Tub",wake,NC
9,CBPR-025180-2019,2019-09-10,Withdrawn,5860 MCCRIMMON PKWY MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
10,CBPR-024524-2019,2019-08-28,Withdrawn,1100 DEER HARBOR DR GARNER 27529,"Commercial Pool, Spa or Hot Tub",wake,NC
11,CBPR-012330-2019,2019-01-18,Issued,810 N FIRST AVE KNIGHTDALE NC 275458510,"Commercial Pool, Spa or Hot Tub",wake,NC
12,CBPR-007072-2018,2018-10-04,Withdrawn,800 N JUDD PKWY NE FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
13,CBPR-032196-2020,2020-01-28,Withdrawn,5721 HILLSBOROUGH ST RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
14,CBPR-052475-2021,2021-01-25,Withdrawn,1337 HOLT RD APEX 27523,"Commercial Pool, Spa or Hot Tub",wake,NC
15,CBPR-049784-2020,2020-12-01,Withdrawn,100 WALKER STONE DR CARY 27513,"Commercial Pool, Spa or Hot Tub",wake,NC
