"Application Date","Record Number","Record Type","Address","Status","Project Name","Description","Expiration Date","Kiva Hist T #",
"06/02/2021","BLD2021060130","Commercial Swimming Pool With Deck","United States","Issued","LEISURE VILLAGE","RESURFACE COMMERCIAL SWIMMING POOL",,,
"06/02/2021","BLD2021060121","Commercial Swimming Pool With Deck","2211 NE DIXIE HWY, JENSEN BEACH FL 34957-6438","Issued","PARKVIEW","RESURFACING EXISTING SWIMMING POOL",,,
"12/30/2020","BLD2020121460","Commercial Swimming Pool With Deck","1250 NE RESERVE TRL, JENSEN BEACH FL 34957","In Review","Swimming Pool and Deck","New construction of swimming pool and pool deck for The Reserve at Jensen Beach project.",,,
"08/13/2020","BLD2020080774","Commercial Swimming Pool With Deck","10825 SE FEDERAL HWY, HOBE SOUND FL 33455-5004","Issued",,"CRA - HOBE SOUND - Remodeling existing pool, new tile, new pool finish & new equipment per plan, not touching the pool deck.",,,
"07/24/2020","BLD2020071611","Commercial Swimming Pool With Deck","9105 SE YACHT CLUB CIR, HOBE SOUND FL 33455-3205","Closed-Certificate Issued","Harbour at Hobe Sound HOA","Installing new 6"" x 6"" Colonial Blue tile with new Depth Markers.Install new FL Stucco Sky Blue Pool PlasterBring all Main Drain Covers to Code",,,
"07/13/2020","BLD2020070832","Commercial Swimming Pool With Deck","3680 SE CAMBRIDGE DR, STUART FL 34997","Closed-Cancelled","GOLF CLUB POOL REPAIR","NO DECK WORK - Drain pool and control ground water, remove old tile and replace, prepare existing finish and apply waterproofing bond agent.  Install new non-skid caps on steps, apply new Florida Gem ""sky blue"" finish.  Replace drain cover with current VGB certified cover, replace return inlets.  Replace ladder with a cross brace ladder.  Re-fill and restart pump - no deck work.",,,
"05/15/2020","BLD2020050866","Commercial Swimming Pool With Deck","2051 NE OCEAN BLVD, STUART FL 34996","Closed-Cancelled","EAST SIDE POOL","Drain pool and control groundwater, strip off fiberglass layer, remove old tile and replace and install appropriate depth markers.  Replace incandescent bulbs with white LED bulbs.  Replace gutter grates and inlets.  Replace drain cover with VGR certified cover.  Apply waterproofing bond agent, install non-skid caps on steps, apply new pool finish, refill and restart pump.",,,
"05/15/2020","BLD2020050863","Commercial Swimming Pool With Deck","2050 NE OCEAN BLVD, STUART FL 34996-2935","Closed-Cancelled","WEST SIDE POOL","Drain pool and control groundwater, strip off fiberglass layer, remove old tile and replace and install appropriate depth markers.  Replace incandescent light bulbs with white LED bulbs.  Apply waterproofing bond agent, install non-skid tiles on steps.  Apply new pool finish, remove gutter grates and inlets, replace drain cover with VGB certified cover.  Refill and start pump.",,,
"03/23/2020","BLD2020031164","Commercial Swimming Pool With Deck","944 NW SPRUCE RIDGE DR, STUART FL 34994","Closed-Certificate Issued","POOL REPAIR","POOL REPAIR - Installing new 6"" x 6"" Colonial Blue Tile with new Depth Markers.  Install new FL Stucco Sky Blue Pool Plaster.  Bring all Main Drain Covers to Code.",,,
"11/25/2019","BLD2019111097","Commercial Swimming Pool With Deck","5381 SE RUNNING OAK CIR, STUART FL 34997-1644","Closed-Certificate Issued","HOA POOL / WOOD RIDGE OWNERS ASSOCIATION","POOL ONLY - NO DECK - Installing new 6"" x 6"" Colonial Blue tile with new Depth Markers.  Install new QuartzScapes 3/8"" - 1/2"" thick.  Bring all main drain covers to code.;",,,
